freq	dB(S(1,1))
0.00000000000000000E0	-6.02455335475985621E0
5.00501000000000040E6	-6.02321958947193892E0
1.00100200000000017E7	-6.02157799435990704E0
1.50150300000000003E7	-6.01911711175565411E0
2.00200400000000034E7	-6.01586929287749950E0
2.50250500000000020E7	-6.01183639049699092E0
3.00300600000000006E7	-6.00703425808976821E0
3.50350700000000037E7	-6.00146766158223954E0
4.00400800000000068E7	-5.99514094444109169E0
4.50450900000000054E7	-5.98805899048224255E0
5.00501000000000040E7	-5.98022776602335071E0
5.50551100000000027E7	-5.97165458044337516E0
6.00601200000000013E7	-5.96234815807357776E0
6.50651300000000088E7	-5.95231859140019282E0
7.00701400000000074E7	-5.94157722664393617E0
7.50751499999999972E7	-5.93013651835709421E0
8.00801600000000136E7	-5.91800987703989012E0
8.50851699999999944E7	-5.90521152371100122E0
9.00901800000000108E7	-5.89175635874123849E0
9.50951900000000094E7	-5.87765984779697437E0
1.00100200000000017E8	-5.86293792451502505E0
1.05105210000000016E8	-5.84760690855616350E0
1.10110220000000014E8	-5.83168343672440326E0
1.15115230000000013E8	-5.81518440488765620E0
1.20120240000000011E8	-5.79812691858090279E0
1.25125250000000010E8	-5.78052825030717443E0
1.30130260000000009E8	-5.76240580214558040E0
1.35135270000000007E8	-5.74377707242417213E0
1.40140280000000006E8	-5.72465962526273309E0
1.45145290000000005E8	-5.70507106276736042E0
1.50150300000000003E8	-5.68502899890467184E0
1.55155310000000002E8	-5.66455103482371047E0
1.60160320000000023E8	-5.64365473560887043E0
1.65165330000000021E8	-5.62235760784123517E0
1.70170339999999998E8	-5.60067707835795492E0
1.75175350000000019E8	-5.57863047371321219E0
1.80180360000000017E8	-5.55623500062690123E0
1.85185370000000016E8	-5.53350772720577400E0
1.90190380000000014E8	-5.51046556514617514E0
1.95195389999999991E8	-5.48712525269334961E0
2.00200400000000034E8	-5.46350333848723313E0
2.05205410000000033E8	-5.43961616649173774E0
2.10210420000000031E8	-5.41547986159401518E0
