freq	phase(S(3,1))
4.95495990000000042E8	-4.90344753062540217E1
5.00501000000000040E8	-4.94709535849580906E1
5.05506009999999950E8	-4.99063125347358927E1
5.10511020000000038E8	-5.03405612438767225E1
5.15516030000000036E8	-5.07737090151557879E1
5.20521040000000035E8	-5.12057653604654206E1
5.25526050000000033E8	-5.16367399962914853E1
5.30531059999999943E8	-5.20666428389692548E1
5.35536070000000031E8	-5.24954839998899914E1
5.40541080000000029E8	-5.29232737812552223E1
5.45546090000000028E8	-5.33500226711562675E1
5.50551100000000027E8	-5.37757413394363848E1
5.55556110000000025E8	-5.42004406333723487E1
5.60561120000000024E8	-5.46241315732403532E1
5.65566129999999934E8	-5.50468253482447878E1
5.70571140000000021E8	-5.54685333125820090E1
5.75576150000000109E8	-5.58892669810487419E1
5.80581160000000018E8	-5.63090380255367329E1
5.85586170000000017E8	-5.67278582709755419E1
5.90591180000000016E8	-5.71457396916538762E1
5.95596190000000014E8	-5.75626944075459690E1
6.00601200000000013E8	-5.79787346807353465E1
6.05606210000000011E8	-5.83938729120219158E1
6.10611220000000010E8	-5.88081216373657334E1
6.15616230000000009E8	-5.92214935248668972E1
6.20621240000000007E8	-5.96340013712443184E1
6.25626250000000006E8	-6.00456580989905486E1
6.30631260000000005E8	-6.04564767531179115E1
6.35636270000000003E8	-6.08664704983380123E1
6.40641280000000091E8	-6.12756526162586113E1
6.45646290000000000E8	-6.16840365025143278E1
6.50651300000000088E8	-6.20916356641814104E1
6.55656309999999998E8	-6.24984637170686064E1
6.60661320000000085E8	-6.29045343834343296E1
6.65666329999999995E8	-6.33098614893114320E1
6.70671340000000082E8	-6.37144589623834801E1
6.75676349999999992E8	-6.41183408296493695E1
6.80681359999999991E8	-6.45215212153803286E1
6.85686369999999989E8	-6.49240143388165869E1
6.90691379999999988E8	-6.53258345124085071E1
6.95696389999999987E8	-6.57269961398439584E1
7.00701400000000074E8	-6.61275137140699343E1
7.05706409999999984E8	-6.65274018158729241E1
7.10711420000000071E8	-6.69266751118369019E1
7.15716429999999981E8	-6.73253483529711616E1
7.20721440000000069E8	-6.77234363731734401E1
7.25726449999999979E8	-6.81209540877489239E1
7.30731459999999977E8	-6.85179164921356865E1
7.35736470000000065E8	-6.89143386603732466E1
7.40741480000000063E8	-6.93102357442078709E1
7.45746490000000062E8	-6.97056229717057629E1
7.50751499999999972E8	-7.01005156462802148E1
7.55756509999999970E8	-7.04949291456228799E1
7.60761520000000058E8	-7.08888789208478887E1
7.65766530000000056E8	-7.12823804955226326E1
7.70771540000000055E8	-7.16754494648933438E1
7.75776549999999965E8	-7.20681014951385457E1
7.80781559999999963E8	-7.24603523226456581E1
7.85786569999999962E8	-7.28522177534845383E1
7.90791579999999961E8	-7.32437136626499097E1
7.95796590000000226E8	-7.36348559938003966E1
8.00801600000000136E8	-7.40256607585722826E1
8.05806609999999957E8	-7.44161440363335380E1
8.10811619999999955E8	-7.48063219737734642E1
8.15816630000000131E8	-7.51962107846305639E1
8.20821640000000130E8	-7.55858267494152347E1
8.25826650000000129E8	-7.59751862152951407E1
