freq	dB(S(3,1))
0.00000000000000000E0	-6.02251476124981178E0
5.00501000000000040E6	-6.02358102780434645E0
1.00100200000000017E7	-6.02506892520303872E0
1.50150300000000003E7	-6.02675719422404299E0
2.00200400000000034E7	-6.02864763724532615E0
2.50250500000000020E7	-6.03074084997767734E0
3.00300600000000006E7	-6.03303188950410796E0
3.50350700000000037E7	-6.03551707317661901E0
4.00400800000000068E7	-6.03819247941921589E0
4.50450900000000054E7	-6.04105425727763734E0
5.00501000000000040E7	-6.04409879880170120E0
5.50551100000000027E7	-6.04732281755266943E0
6.00601200000000013E7	-6.05072336365074470E0
6.50651300000000088E7	-6.05429779878853580E0
7.00701400000000074E7	-6.05804374941266577E0
7.50751499999999972E7	-6.06195905096233822E0
8.00801600000000136E7	-6.06604169166307372E0
8.50851699999999944E7	-6.07028976097115791E0
9.00901800000000108E7	-6.07470140512614165E0
9.50951900000000094E7	-6.07927479053364639E0
1.00100200000000017E8	-6.08400807481327988E0
1.05105210000000016E8	-6.08889938465591829E0
1.10110220000000014E8	-6.09394679950959084E0
1.15115230000000013E8	-6.09914834003344453E0
1.20120240000000011E8	-6.10450196034290116E0
1.25125250000000010E8	-6.11000554323903433E0
1.30130260000000009E8	-6.11565689767801146E0
1.35135270000000007E8	-6.12145375791512691E0
1.40140280000000006E8	-6.12739378395450363E0
1.45145290000000005E8	-6.13347456280351366E0
1.50150300000000003E8	-6.13969361040476436E0
1.55155310000000002E8	-6.14604837400614201E0
1.60160320000000023E8	-6.15253623474013800E0
1.65165330000000021E8	-6.15915451045131235E0
1.70170339999999998E8	-6.16590045853124380E0
1.75175350000000019E8	-6.17277127884729815E0
1.80180360000000017E8	-6.17976411662242775E0
1.85185370000000016E8	-6.18687606530757517E0
1.90190380000000014E8	-6.19410416936239638E0
1.95195389999999991E8	-6.20144542701007051E0
2.00200400000000034E8	-6.20889679292532826E0
2.05205410000000033E8	-6.21645518078873316E0
2.10210420000000031E8	-6.22411746585288217E0
2.15215429999999985E8	-6.23188048736952638E0
2.20220440000000028E8	-6.23974105097374743E0
2.25225450000000027E8	-6.24769593100755039E0
2.30230460000000026E8	-6.25574187274837712E0
2.35235470000000024E8	-6.26387559460839594E0
2.40240480000000023E8	-6.27209379024926683E0
2.45245489999999977E8	-6.28039313064833049E0
2.50250500000000020E8	-6.28877026612063794E0
2.55255510000000019E8	-6.29722182825763621E0
2.60260520000000017E8	-6.30574443184348787E0
2.65265529999999972E8	-6.31433467671729165E0
2.70270540000000015E8	-6.32298914957961600E0
2.75275550000000013E8	-6.33170442575130821E0
2.80280560000000012E8	-6.34047707089672130E0
2.85285570000000011E8	-6.34930364269561487E0
2.90290580000000009E8	-6.35818069248407625E0
2.95295590000000008E8	-6.36710476682694893E0
3.00300600000000006E8	-6.37607240908348594E0
3.05305610000000005E8	-6.38508016089773900E0
3.10310620000000004E8	-6.39412456368424476E0
3.15315630000000002E8	-6.40320216003207410E0
3.20320640000000045E8	-6.41230949511677117E0
3.25325650000000044E8	-6.42144311801019629E0
3.30330660000000043E8	-6.43059958304528312E0
3.35335670000000041E8	-6.43977545103299853E0
3.40340679999999995E8	-6.44896729052170858E0
3.45345689999999994E8	-6.45817167899054301E0
3.50350700000000037E8	-6.46738520399238759E0
3.55355710000000036E8	-6.47660446428373060E0
3.60360720000000034E8	-6.48582607091456520E0
3.65365729999999989E8	-6.49504664824786992E0
3.70370740000000032E8	-6.50426283499342794E0
3.75375749999999986E8	-6.51347128517414475E0
3.80380760000000029E8	-6.52266866905272380E0
3.85385770000000027E8	-6.53185167404736955E0
3.90390779999999982E8	-6.54101700559164989E0
3.95395789999999980E8	-6.55016138796017700E0
4.00400800000000068E8	-6.55928156508923621E0
4.05405809999999978E8	-6.56837430131215871E0
4.10410820000000065E8	-6.57743638210977011E0
4.15415830000000064E8	-6.58646461480657397E0
4.20420840000000062E8	-6.59545582922970031E0
4.25425849999999972E8	-6.60440687835390605E0
4.30430859999999971E8	-6.61331463890042848E0
4.35435869999999969E8	-6.62217601190234628E0
4.40440880000000057E8	-6.63098792326092568E0
4.45445889999999967E8	-6.63974732425438940E0
4.50450900000000054E8	-6.64845119201793988E0
4.55455910000000053E8	-6.65709653000723200E0
4.60460920000000051E8	-6.66568036842238509E0
4.65465930000000050E8	-6.67419976461296383E0
4.70470940000000049E8	-6.68265180345948551E0
4.75475950000000047E8	-6.69103359770892769E0
4.80480960000000046E8	-6.69934228831461009E0
4.85485970000000044E8	-6.70757504472732613E0
4.90490979999999954E8	-6.71572906518547263E0
4.95495990000000042E8	-6.72380157695077507E0
5.00501000000000040E8	-6.73178983655380314E0
5.05506009999999950E8	-6.73969113001198927E0
5.10511020000000038E8	-6.74750277298944390E0
5.15516030000000036E8	-6.75522211100309455E0
5.20521040000000035E8	-6.76284651954364158E0
5.25526050000000033E8	-6.77037340422136324E0
5.30531059999999943E8	-6.77780020087630142E0
5.35536070000000031E8	-6.78512437566564941E0
5.40541080000000029E8	-6.79234342515941858E0
5.45546090000000028E8	-6.79945487637839552E0
5.50551100000000027E8	-6.80645628685605519E0
5.55556110000000025E8	-6.81334524467024938E0
5.60561120000000024E8	-6.82011936845032718E0
5.65566129999999934E8	-6.82677630738592800E0
5.70571140000000021E8	-6.83331374122486146E0
5.75576150000000109E8	-6.83972938022950228E0
5.80581160000000018E8	-6.84602096516507519E0
5.85586170000000017E8	-6.85218626724167201E0
5.90591180000000016E8	-6.85822308806139880E0
5.95596190000000014E8	-6.86412925955065134E0
6.00601200000000013E8	-6.86990264388362437E0
6.05606210000000011E8	-6.87554113340273254E0
6.10611220000000010E8	-6.88104265051506037E0
6.15616230000000009E8	-6.88640514760749856E0
6.20621240000000007E8	-6.89162660691989526E0
6.25626250000000006E8	-6.89670504044600730E0
6.30631260000000005E8	-6.90163848979851302E0
6.35636270000000003E8	-6.90642502608910469E0
6.40641280000000091E8	-6.91106274979796353E0
6.45646290000000000E8	-6.91554979063021413E0
6.50651300000000088E8	-6.91988430737986882E0
6.55656309999999998E8	-6.92406448777624028E0
6.60661320000000085E8	-6.92808854834786914E0
6.65666329999999995E8	-6.93195473425503295E0
6.70671340000000082E8	-6.93566131914683215E0
6.75676349999999992E8	-6.93920660499909836E0
6.80681359999999991E8	-6.94258892196224142E0
6.85686369999999989E8	-6.94580662818862304E0
6.90691379999999988E8	-6.94885810968521067E0
6.95696389999999987E8	-6.95174178014779987E0
7.00701400000000074E8	-6.95445608079273647E0
7.05706409999999984E8	-6.95699948021266756E0
7.10711420000000071E8	-6.95937047419608401E0
7.15716429999999981E8	-6.96156758557987843E0
7.20721440000000069E8	-6.96358936408936913E0
7.25726449999999979E8	-6.96543438617947075E0
7.30731459999999977E8	-6.96710125488501308E0
