freq	phase(S(2,1))
0.00000000000000000E0	0.00000000000000000E0
5.00501000000000040E6	-4.84034662880714261E-1
1.00100200000000017E7	-9.30374363922426895E-1
1.50150300000000003E7	-1.38619955872273382E0
2.00200400000000034E7	-1.84147033052899878E0
2.50250500000000020E7	-2.29610439766837526E0
3.00300600000000006E7	-2.74952142068055627E0
3.50350700000000037E7	-3.20184675502999516E0
4.00400800000000068E7	-3.65316117606558644E0
4.50450900000000054E7	-4.10351807054969964E0
5.00501000000000040E7	-4.55295274080951629E0
5.50551100000000027E7	-5.00148785624306402E0
6.00601200000000013E7	-5.44913687237852695E0
6.50651300000000088E7	-5.89590628384407811E0
7.00701400000000074E7	-6.34179719778486639E0
7.50751499999999972E7	-6.78680647477213483E0
8.00801600000000136E7	-7.23092758180742745E0
8.50851699999999944E7	-7.67415125354059935E0
9.00901800000000108E7	-8.11646601422326697E0
9.50951900000000094E7	-8.55785859246777925E0
1.00100200000000017E8	-8.99831426072745089E0
1.05105210000000016E8	-9.43781711159200754E0
1.10110220000000014E8	-9.87635028667506276E0
1.15115230000000013E8	-1.03138961667278828E1
1.20120240000000011E8	-1.07504365297922111E1
1.25125250000000010E8	-1.11859526857022251E1
1.30130260000000009E8	-1.16204255886519880E1
1.35135270000000007E8	-1.20538359322454847E1
1.40140280000000006E8	-1.24861642339732737E1
1.45145290000000005E8	-1.29173909034629575E1
1.50150300000000003E8	-1.33474963039093875E1
1.55155310000000002E8	-1.37764608058182714E1
1.60160320000000023E8	-1.42042648309949060E1
1.65165330000000021E8	-1.46308888943960369E1
1.70170339999999998E8	-1.50563136375145978E1
1.75175350000000019E8	-1.54805198602673189E1
1.80180360000000017E8	-1.59034885475132226E1
1.85185370000000016E8	-1.63252008935034243E1
1.90190380000000014E8	-1.67456383220481264E1
1.95195389999999991E8	-1.71647825056981884E1
2.00200400000000034E8	-1.75826153828336906E1
2.05205410000000033E8	-1.79991191706313525E1
2.10210420000000031E8	-1.84142763793722675E1
2.15215429999999985E8	-1.88280698228349452E1
2.20220440000000028E8	-1.92404826282940355E1
2.25225450000000027E8	-1.96514982454740017E1
2.30230460000000026E8	-2.00611004533882298E1
2.35235470000000024E8	-2.04692733672321259E1
2.40240480000000023E8	-2.08760014434999963E1
2.45245489999999977E8	-2.12812694845245076E1
2.50250500000000020E8	-2.16850626425052262E1
2.55255510000000019E8	-2.20873664218554300E1
2.60260520000000017E8	-2.24881666817266002E1
2.65265529999999972E8	-2.28874496376872383E1
2.70270540000000015E8	-2.32852018625668755E1
2.75275550000000013E8	-2.36814102866764253E1
2.80280560000000012E8	-2.40760621977643297E1
2.85285570000000011E8	-2.44691452402617404E1
2.90290580000000009E8	-2.48606474143618383E1
2.95295590000000008E8	-2.52505570739774798E1
3.00300600000000006E8	-2.56388629251753164E1
3.05305610000000005E8	-2.60255540233491267E1
3.10310620000000004E8	-2.64106197709036605E1
3.15315630000000002E8	-2.67940499135747023E1
3.20320640000000045E8	-2.71758345375738619E1
3.25325650000000044E8	-2.75559640649232040E1
3.30330660000000043E8	-2.79344292507162040E1
3.35335670000000041E8	-2.83112211775355238E1
3.40340679999999995E8	-2.86863312515158286E1
3.45345689999999994E8	-2.90597511975070777E1
3.50350700000000037E8	-2.94314730537265268E1
3.55355710000000036E8	-2.98014891667634663E1
3.60360720000000034E8	-3.01697921862962559E1
3.65365729999999989E8	-3.05363750589272209E1
3.70370740000000032E8	-3.09012310229335485E1
3.75375749999999986E8	-3.12643536021797352E1
3.80380760000000029E8	-3.16257365998299012E1
3.85385770000000027E8	-3.19853740924255536E1
3.90390779999999982E8	-3.23432604234184051E1
3.95395789999999980E8	-3.26993901965899791E1
4.00400800000000068E8	-3.30537582699868082E1
4.05405809999999978E8	-3.34063597486994457E1
4.10410820000000065E8	-3.37571899785575491E1
4.15415830000000064E8	-3.41062445392975189E1
4.20420840000000062E8	-3.44535192375990240E1
4.25425849999999972E8	-3.47990101003919161E1
4.30430859999999971E8	-3.51427133678331050E1
4.35435869999999969E8	-3.54846254862070953E1
4.40440880000000057E8	-3.58247431011766437E1
4.45445889999999967E8	-3.61630630506683914E1
4.50450900000000054E8	-3.64995823577624501E1
4.55455910000000053E8	-3.68342982237674832E1
4.60460920000000051E8	-3.71672080210916533E1
4.65465930000000050E8	-3.74983092862414935E1
4.70470940000000049E8	-3.78275997129002217E1
4.75475950000000047E8	-3.81550771446352721E1
4.80480960000000046E8	-3.84807395681696907E1
4.85485970000000044E8	-3.88045851062176883E1
4.90490979999999954E8	-3.91266120107716597E1
4.95495990000000042E8	-3.94468186558619482E1
5.00501000000000040E8	-3.97652035309114771E1
5.05506009999999950E8	-4.00817652340216224E1
5.10511020000000038E8	-4.03965024646861792E1
5.15516030000000036E8	-4.07094140176674735E1
5.20521040000000035E8	-4.10204987758262973E1
5.25526050000000033E8	-4.13297557037324292E1
5.30531059999999943E8	-4.16371838410601125E1
5.35536070000000031E8	-4.19427822959386809E1
5.40541080000000029E8	-4.22465502387980330E1
5.45546090000000028E8	-4.25484868955948592E1
5.50551100000000027E8	-4.28485915417525298E1
5.55556110000000025E8	-4.31468634959330366E1
5.60561120000000024E8	-4.34433021137051956E1
