freq	dB(S(4,1))
2.90290580000000009E8	-6.47644458662655076E0
2.95295590000000008E8	-6.48949953944476121E0
3.00300600000000006E8	-6.50266866683013234E0
3.05305610000000005E8	-6.51594852449580841E0
3.10310620000000004E8	-6.52933566893099027E0
3.15315630000000002E8	-6.54282665879442416E0
3.20320640000000045E8	-6.55641805632409369E0
3.25325650000000044E8	-6.57010642863607419E0
3.30330660000000043E8	-6.58388834909590059E0
3.35335670000000041E8	-6.59776039852328999E0
3.40340679999999995E8	-6.61171916645586144E0
3.45345689999999994E8	-6.62576125234256796E0
3.50350700000000037E8	-6.63988326668406881E0
3.55355710000000036E8	-6.65408183216741023E0
3.60360720000000034E8	-6.66835358475922124E0
3.65365729999999989E8	-6.68269517472417007E0
3.70370740000000032E8	-6.69710326766771935E0
3.75375749999999986E8	-6.71157454550570343E0
3.80380760000000029E8	-6.72610570739494307E0
3.85385770000000027E8	-6.74069347065799906E0
3.90390779999999982E8	-6.75533457164878826E0
3.95395789999999980E8	-6.77002576658392563E0
4.00400800000000068E8	-6.78476383237708180E0
4.05405809999999978E8	-6.79954556737688698E0
4.10410820000000065E8	-6.81436779213078214E0
4.15415830000000064E8	-6.82922735009128701E0
4.20420840000000062E8	-6.84412110828415887E0
4.25425849999999972E8	-6.85904595796681615E0
4.30430859999999971E8	-6.87399881523810929E0
4.35435869999999969E8	-6.88897662161577795E0
4.40440880000000057E8	-6.90397634460784637E0
4.45445889999999967E8	-6.91899497823490162E0
4.50450900000000054E8	-6.93402954352382395E0
4.55455910000000053E8	-6.94907708898787391E0
4.60460920000000051E8	-6.96413469106584504E0
4.65465930000000050E8	-6.97919945454378965E0
4.70470940000000049E8	-6.99426851295589280E0
4.75475950000000047E8	-7.00933902893409044E0
4.80480960000000046E8	-7.02440819457063625E0
4.85485970000000044E8	-7.03947323172549044E0
4.90490979999999954E8	-7.05453139234049953E0
4.95495990000000042E8	-7.06957995869165057E0
5.00501000000000040E8	-7.08461624365929588E0
5.05506009999999950E8	-7.09963759097011948E0
5.10511020000000038E8	-7.11464137537369279E0
5.15516030000000036E8	-7.12962500288139811E0
5.20521040000000035E8	-7.14458591090545081E0
5.25526050000000033E8	-7.15952156843379761E0
5.30531059999999943E8	-7.17442947616709681E0
5.35536070000000031E8	-7.18930716663094405E0
5.40541080000000029E8	-7.20415220430500458E0
5.45546090000000028E8	-7.21896218568415193E0
5.50551100000000027E8	-7.23373473937464517E0
5.55556110000000025E8	-7.24846752615726420E0
5.60561120000000024E8	-7.26315823902425883E0
5.65566129999999934E8	-7.27780460322239175E0
5.70571140000000021E8	-7.29240437628865301E0
5.75576150000000109E8	-7.30695534803443625E0
5.80581160000000018E8	-7.32145534057796343E0
5.85586170000000017E8	-7.33590220831967521E0
5.90591180000000016E8	-7.35029383792909030E0
5.95596190000000014E8	-7.36462814831699486E0
