Frequency(GHz) s31
0.0 -6.022514761249812
0.00500501 -6.023581027804346
0.01001002 -6.02506892520304
0.01501503 -6.026757194224042
0.020020040000000003 -6.028647637245326
0.02502505 -6.0307408499776765
0.03003006 -6.033031889504108
0.03503507000000001 -6.035517073176619
0.040040080000000006 -6.038192479419216
0.04504509000000001 -6.0410542572776365
0.0500501 -6.044098798801701
0.05505511 -6.0473228175526685
0.06006012 -6.050723363650745
0.06506513000000001 -6.054297798788536
0.07007014000000002 -6.058043749412666
0.07507514999999998 -6.061959050962337
0.08008016000000001 -6.066041691663074
0.08508516999999999 -6.070289760971158
0.09009018 -6.074701405126142
0.09509519000000001 -6.079274790533646
0.1001002 -6.08400807481328
0.10510521 -6.088899384655918
0.11011022 -6.093946799509591
0.11511523 -6.0991483400334445
0.12012024 -6.104501960342901
0.12512525 -6.110005543239033
0.13013026 -6.1156568976780115
0.13513527 -6.121453757915127
0.14014028 -6.127393783954504
0.14514529 -6.133474562803514
0.1501503 -6.139693610404764
0.15515531 -6.146048374006142
0.16016032000000002 -6.152536234740138
0.16516533000000003 -6.159154510451312
0.17017034 -6.165900458531244
0.17517535 -6.172771278847297
0.18018036 -6.179764116622428
0.18518537 -6.186876065307575
0.19019038 -6.194104169362396
0.19519539 -6.201445427010071
0.20020040000000003 -6.208896792925328
0.20520541000000003 -6.216455180788733
0.21021042000000004 -6.224117465852881
0.21521543 -6.231880487369526
0.22022044 -6.239741050973747
0.22522545 -6.24769593100755
0.23023046 -6.255741872748377
0.23523547 -6.263875594608396
0.24024048 -6.272093790249267
0.24524549 -6.28039313064833
0.2502505 -6.288770266120638
0.25525551 -6.297221828257636
0.26026052 -6.305744431843488
0.26526553 -6.314334676717292
0.27027054 -6.322989149579616
0.27527555 -6.331704425751308
0.28028056 -6.34047707089672
0.28528557 -6.349303642695615
0.29029058 -6.358180692484076
0.29529559 -6.367104766826949
0.3003006 -6.376072409083486
0.30530561 -6.385080160897739
0.31031062 -6.394124563684245
0.31531563 -6.403202160032073
0.32032064000000005 -6.412309495116771
0.3253256500000001 -6.421443118010196
0.33033066000000005 -6.430599583045283
0.3353356700000001 -6.439775451032999
0.34034068 -6.448967290521709
0.34534569 -6.458171678990543
0.35035070000000007 -6.467385203992388
0.35535571000000005 -6.476604464283731
0.36036072 -6.485826070914565
0.36536573 -6.49504664824787
0.37037074 -6.504262834993428
0.37537575 -6.513471285174145
0.38038076 -6.522668669052724
0.38538577 -6.5318516740473695
0.39039078 -6.54101700559165
0.39539579 -6.550161387960177
0.40040080000000006 -6.559281565089236
0.40540581 -6.56837430131216
0.41041082000000007 -6.577436382109769
0.41541583000000004 -6.586464614806574
0.4204208400000001 -6.5954558292297
0.42542585 -6.604406878353905
0.43043086 -6.6133146389004285
0.43543587 -6.622176011902345
0.44044088000000003 -6.630987923260926
0.44544589 -6.6397473242543885
0.45045090000000004 -6.64845119201794
0.4554559100000001 -6.657096530007232
0.46046092000000005 -6.665680368422385
0.4654659300000001 -6.674199764612964
0.47047094 -6.6826518034594855
0.47547595 -6.691033597708928
0.48048096 -6.699342288314609
0.48548597 -6.707575044727326
0.49049098 -6.715729065185473
0.49549599 -6.723801576950775
0.500501 -6.731789836553803
0.50550601 -6.739691130011988
0.51051102 -6.747502772989444
0.51551603 -6.755222111003095
0.52052104 -6.762846519543642
0.52552605 -6.770373404221363
0.53053106 -6.7778002008763005
0.53553607 -6.785124375665649
0.54054108 -6.792343425159419
0.54554609 -6.799454876378396
0.5505511 -6.806456286856055
0.55555611 -6.8133452446702485
0.56056112 -6.820119368450327
0.5655661299999999 -6.826776307385928
0.57057114 -6.833313741224861
0.5755761500000001 -6.839729380229502
0.58058116 -6.846020965165075
0.58558617 -6.852186267241672
0.59059118 -6.858223088061399
0.59559619 -6.864129259550651
0.6006012 -6.869902643883624
0.60560621 -6.8755411334027325
0.61061122 -6.88104265051506
0.61561623 -6.8864051476074986
0.62062124 -6.891626606919895
0.62562625 -6.896705040446007
0.63063126 -6.901638489798513
0.63563627 -6.906425026089105
0.6406412800000001 -6.911062749797964
0.64564629 -6.915549790630214
0.6506513000000002 -6.919884307379869
0.65565631 -6.92406448777624
0.6606613200000001 -6.928088548347869
0.66566633 -6.931954734255033
0.6706713400000002 -6.935661319146832
0.67567635 -6.9392066049990975
0.68068136 -6.942588921962241
0.68568637 -6.945806628188623
0.69069138 -6.948858109685211
0.69569639 -6.9517417801478
0.7007014000000001 -6.954456080792736
0.70570641 -6.956999480212668
0.7107114200000001 -6.959370474196084
0.71571643 -6.961567585579878
0.72072144 -6.963589364089369
0.7257264499999999 -6.965434386179472
0.7307314599999999 -6.967101254885013
0.73573647 -6.968588599655065
0.74074148 -6.9698950762202125
0.74574649 -6.971019366433524
0.7507514999999999 -6.971960178131561
0.7557565099999999 -6.972716244991428
0.76076152 -6.973286326398264
0.76576653 -6.97366920730839
0.77077154 -6.973863698123052
0.7757765499999999 -6.973868634564786
0.7807815599999999 -6.973682877556663
0.7857865699999999 -6.973305313114117
0.7907915799999998 -6.972734852227491
0.7957965900000001 -6.971970430771003
0.8008016000000001 -6.971011009395498
0.8058066099999999 -6.969855573444603
0.8108116199999998 -6.968503132868033
0.8158166300000002 -6.966952722144522
0.8208216400000001 -6.965203400209644
0.8258266500000001 -6.9632542503960915
0.8308316600000001 -6.961104380371994
0.8358366700000002 -6.958752922097235
0.8408416800000001 -6.956199031780409
0.8458466900000001 -6.95344188984273
0.8508516999999999 -6.950480700900236
0.8558567100000001 -6.9473146937395756
0.8608617199999998 -6.943943121316465
0.8658667300000001 -6.940365260753786
0.8708717399999999 -6.936580413351806
0.8758767500000001 -6.93258790460791
0.8808817600000001 -6.928387084247133
0.8858867699999999 -6.9239773262576
0.8908917799999999 -6.919358028942341
0.8958967900000001 -6.914528614975792
0.9009018 -6.909488531472981
0.90590681 -6.904237250070801
0.91091182 -6.898774267015384
0.91591683 -6.893099103265431
0.92092184 -6.887211304603506
0.92592685 -6.881110441761007
0.93093186 -6.874796110551394
0.93593687 -6.8682679320190365
0.9409418800000001 -6.861525552596612
0.94594689 -6.85456864427696
0.9509519000000001 -6.84739690479761
0.95595691 -6.8400100578346095
0.9609619200000001 -6.8324078532137165
0.96596693 -6.82459006713086
0.97097194 -6.816556502387472
0.97597695 -6.808306988639039
0.98098196 -6.799841382657228
0.98598697 -6.791159568606343
0.99099198 -6.782261458332325
0.99599699 -6.7731469916668265
1.001002 -6.763816136746486
1.00600701 -6.75426889034599
1.01101202 -6.744505278225245
1.01601703 -6.734525355492835
1.02102204 -6.724329206983805
1.02602705 -6.713916947653682
1.03103206 -6.70328872298696
1.0360370699999997 -6.69244470942172
1.04104208 -6.68138511479112
1.04604709 -6.6701101787789066
1.0510521 -6.658620173393825
1.0560571099999998 -6.646915403457561
1.0610621199999997 -6.634996207111826
1.06606713 -6.6228629563406045
1.07107214 -6.61051605750928
1.07607715 -6.597955951922007
1.08108216 -6.585183116394242
1.08608717 -6.572198063844658
1.09109218 -6.559001343902181
1.09609719 -6.545593543532132
1.1011022 -6.531975287679376
1.1061072099999996 -6.518147239928015
1.11111222 -6.504110103180105
1.11611723 -6.489864620351487
1.12112224 -6.475411575084316
1.12612725 -6.460751792478585
1.1311322599999996 -6.445886139840285
1.13613727 -6.430815527447712
1.14114228 -6.41554090933406
1.14614729 -6.400063284089744
1.1511523 -6.384383695678163
1.15615731 -6.368503234272282
1.16116232 -6.352423037107078
1.16616733 -6.336144289345218
1.17117234 -6.319668224965376
1.17617735 -6.302996127660128
1.18118236 -6.286129331755506
1.18618737 -6.269069223140049
1.19119238 -6.251817240214246
1.19619739 -6.234374874851024
1.2012024 -6.216743673370871
1.20620741 -6.1989252375316815
1.21121242 -6.180921225528289
1.21621743 -6.162733353008377
1.22122244 -6.144363394095876
1.2262274499999997 -6.125813182428584
1.23123246 -6.107084612198717
1.23623747 -6.088179639212992
1.24124248 -6.069100281948179
1.24624749 -6.0498486226227595
1.2512525 -6.030426808270248
1.25625751 -6.0108370518131
1.26126252 -5.991081633147913
1.26626753 -5.971162900224371
1.27127254 -5.951083270125197
1.27627755 -5.930845230148961
1.28128256 -5.910451338883861
1.28628757 -5.889904227276992
1.29129258 -5.869206599700978
1.29629759 -5.848361235003241
1.3013026 -5.827370987549969
1.3063076099999995 -5.806238788252452
1.31131262 -5.784967645579307
1.31631763 -5.763560646546969
1.3213226400000002 -5.74202095769186
1.3263276499999999 -5.720351826014696
1.33133266 -5.698556579896861
1.3363376699999998 -5.676638629990896
1.34134268 -5.654601470070498
1.34634769 -5.632448677848392
1.3513527 -5.610183915748284
1.35635771 -5.5878109316380336
1.36136272 -5.565333559506503
1.3663677299999997 -5.542755720097353
1.37137274 -5.520081421476378
1.37637775 -5.497314759543482
1.38138276 -5.474459918476168
1.38638777 -5.4515211711073865
1.3913927799999997 -5.428502879220173
1.3963977900000004 -5.405409493772098
1.4014028 -5.382245555024181
1.40640781 -5.3590156925869605
1.41141282 -5.335724625370609
1.4164178299999997 -5.312377161428391
1.42142284 -5.2889781976986185
1.42642785 -5.265532719631403
1.43143286 -5.242045800699279
1.4364378699999996 -5.218522601780283
1.44144288 -5.19496837041438
1.44644789 -5.171388439922318
1.4514529 -5.14778822837865
1.4564579099999995 -5.124173237446048
1.46146292 -5.100549051041686
1.4664679299999999 -5.0769213338536
1.47147294 -5.053295829686252
1.47647795 -5.029678359631424
1.48148296 -5.006074820063869
1.48648797 -4.98249118045038
1.49149298 -4.958933480966422
1.49649799 -4.935407829920448
1.501503 -4.911920400974625
1.50650801 -4.888477430158215
1.51151302 -4.865085212669964
1.5165180300000003 -4.8417500994653695
1.52152304 -4.818478493619312
1.52652805 -4.7952768464713404
1.53153306 -4.7721516535344755
1.5365380699999995 -4.749109450176716
1.54154308 -4.726156807073209
1.54654809 -4.703300325412636
1.5515531 -4.680546631875122
1.5565581099999997 -4.657902373367221
1.56156312 -4.635374211521317
1.5665681299999998 -4.612968816954746
1.57157314 -4.590692863294216
1.57657815 -4.568553020965147
1.5815831599999997 -4.5465559507513
1.5865881699999995 -4.5247082971233565
1.5915931800000005 -4.503016681347953
1.59659819 -4.481487694381509
1.6016032000000002 -4.460127889546518
1.6066082099999999 -4.4389437750135565
1.61161322 -4.41794180608778
1.6166182299999998 -4.397128377309634
1.62162324 -4.376509814383447
1.6266282500000002 -4.3560923659525965
1.6316332600000005 -4.335882195216993
1.63663827 -4.315885371429896
1.6416432800000003 -4.296107861273426
1.64664829 -4.276555520133219
1.6516533000000002 -4.257234083296809
1.6566583099999999 -4.238149157086902
1.66166332 -4.219306209957111
1.6666683299999998 -4.200710563561931
1.6716733400000006 -4.182367383836247
1.6766783500000002 -4.164281672100133
1.6816833600000003 -4.1464582562077
1.68668837 -4.128901781783473
1.6916933800000002 -4.111616703552449
1.6966983899999997 -4.094607276804523
1.7017034 -4.0778775490157955
1.7067084099999998 -4.061431351653414
1.71171342 -4.0452722921985815
1.7167184300000002 -4.02940374640974
1.7217234399999997 -4.013828850859008
1.72672845 -3.9985504957743183
1.7317334600000003 -3.9835713182099743
1.73673847 -3.968893695578624
1.7417434799999996 -3.9545197395744864
1.7467484899999997 -3.9404512905161098
1.7517535 -3.9266899121353207
1.7567585100000003 -3.913236886837764
1.76176352 -3.900093211470757
1.7667685299999996 -3.88725959361046
1.7717735399999999 -3.8747364484050992
1.77677855 -3.8625238959895465
1.7817835599999998 -3.8506217594944614
1.78678857 -3.8390295636753864
1.7917935800000002 -3.827746534168412
1.7967985899999999 -3.8167715974048098
1.8018036 -3.8061033811833975
1.80680861 -3.7957402159240425
1.81181362 -3.7856801366066786
1.81681863 -3.7759208854085142
1.8218236400000005 -3.7664599150386424
1.82682865 -3.757294392780523
1.83183366 -3.7484212052346826
1.83683867 -3.739836963770111
1.84184368 -3.7315380106681983
1.84684869 -3.723520425960303
1.8518537 -3.7157800349470897
1.85685871 -3.7083124163843633
1.86186372 -3.7011129113231687
1.8668687299999995 -3.694176632586241
1.87187374 -3.687498474858347
1.87687875 -3.6810731253706814
1.88188376 -3.674895075150325
1.88688877 -3.668958630811384
1.89189378 -3.6632579268553194
1.89689879 -3.6577869384477943
1.9019038 -3.652539494640081
1.90690881 -3.647509291999015
1.91191382 -3.642689908604997
1.91691883 -3.6380748183822145
1.92192384 -3.6336574057183935
1.92692885 -3.6294309803312097
1.93193386 -3.6253887923411594
1.93693887 -3.621524047503816
1.94194388 -3.6178299225567594
1.94694889 -3.6142995806386513
1.9519539 -3.6109261867298086
1.95695891 -3.607702923073048
1.96196392 -3.604623004524272
1.96696893 -3.6016796937903823
1.97197394 -3.5988663165059886
1.97697895 -3.59617627610594
1.98198396 -3.5936030684478792
1.98698897 -3.5911402961423895
1.99199398 -3.5887816825458465
1.9969989899999996 -3.5865210853791485
2.0020040000000003 -3.584352509927515
2.00700901 -3.582270121785765
2.01201402 -3.5802682591126422
2.01701903 -3.5783414443574015
2.02202404 -3.576484395427096
2.02702905 -3.574692036264468
2.03203406 -3.572959506804996
2.03703907 -3.5712821722893406
2.04204408 -3.5696556319061927
2.04704909 -3.568075726743352
2.0520541000000003 -3.5665385470284967
2.05705911 -3.5650404386430914
2.06206412 -3.563578008894848
2.06706913 -3.5621481315383257
2.07207414 -3.560747951033445
2.0770791500000003 -3.559374886038004
2.08208416 -3.5580266321291227
2.08708917 -3.5567011637528916
2.09209418 -3.555396735405652
2.09709919 -3.554111882049568
2.1021042000000003 -3.5528454187708185
2.10710921 -3.5515964396896287
2.11211422 -3.5503643161333134
2.11711923 -3.5491486940878536
2.12212424 -3.5479494909441516
2.12712925 -3.5467668915570494
2.13213426 -3.545601343639096
2.13713927 -3.544453552511275
2.14214428 -3.5433244752350874
2.1471492900000007 -3.5422153141529904
2.1521543 -3.5411275098653623
2.15715931 -3.540062733671891
2.16216432 -3.539022879511571
2.16716933 -3.538010055428879
2.17217434 -3.5370265746036678
2.17717935 -3.5360749459757264
2.18218436 -3.535157864499568
2.18718937 -3.5342782010668747
2.19219438 -3.533438992129194
2.1971993899999993 -3.532643429060108
2.2022044 -3.531894847290544
2.2072094100000004 -3.5311967152576464
2.2122144199999996 -3.5305526231988127
2.21721943 -3.5299662718315488
2.22222444 -3.529441460951447
2.22722945 -3.5289820779863352
2.23223446 -3.5285920865395504
2.2372394699999996 -3.5282755149571514
2.24224448 -3.5280364449525887
2.24724949 -3.527879000318812
2.2522545 -3.527807335763181
2.2572595100000004 -3.527825625890064
2.2622645199999996 -3.527938054365156
2.2672695300000005 -3.5281488032834374
2.27227454 -3.52846204277308
2.27727955 -3.5288819208533795
2.28228456 -3.5294125535758334
2.2872895699999996 -3.530058015465536
2.29229458 -3.530822330285473
2.297299589999999 -3.5317094621412446
2.3023046 -3.5327233069429367
2.3073096100000003 -3.5338676842383374
2.31231462 -3.5351463294343928
2.31731963 -3.5365628864133267
2.32232464 -3.538120900558406
2.32732965 -3.539823812194704
2.33233466 -3.541674950453087
2.3373396700000004 -3.543677527561919
2.34234468 -3.545834633572207
2.34734969 -3.548149231513168
2.3523547 -3.5506241529859666
2.35735971 -3.553262094188747
2.36236472 -3.5560656123735694
2.36736973 -3.5590371227324145
2.37237474 -3.562178895703311
2.37737975 -3.565493054697958
2.38238476 -3.568981574234966
2.3873897700000004 -3.572646278476959
2.39239478 -3.5764888401600023
2.39739979 -3.5805107799048104
2.4024048 -3.5847134658994806
2.40740981 -3.5890981139410707
2.41241482 -3.593665787825988
2.41741983 -3.5984174000722753
2.42242484 -3.603353712962477
2.42742985 -3.6084753398942633
2.43243486 -3.6137827470204735
2.43743987 -3.61927625516684
2.44244488 -3.6249560420114175
2.44744989 -3.630822144509773
2.4524549 -3.636874461551233
2.45745991 -3.643112756829284
2.46246492 -3.6495366619133978
2.4674699300000005 -3.6561456795028873
2.47247494 -3.662939186851183
2.47747995 -3.6699164393424897
2.48248496 -3.6770765742064624
2.4874899699999995 -3.6844186143577904
2.49249498 -3.6919414723438897
2.49749999 -3.6996439543868274
2.502505 -3.707524764508144
2.50751001 -3.715582508719024
2.51251502 -3.7238156992655354
2.517520030000001 -3.7322227589175063
2.52252504 -3.7408020252840775
2.52753005 -3.7495517551503856
2.53253506 -3.758470128818185
2.53754007 -3.767555254446688
2.54254508 -3.776805172375503
2.54755009 -3.7862178594250273
2.5525551 -3.7957912331681127
2.55756011 -3.805523156156064
2.5625651200000004 -3.8154114400965873
2.5675701299999996 -3.8254538499776714
2.57257514 -3.835648108125916
2.57758015 -3.845991898194608
2.58258516 -3.856482869077285
2.5875901699999995 -3.86711863873968
2.59259518 -3.877896797965709
2.59760019 -3.8888149140110166
2.6026052 -3.8998705341650632
2.60761021 -3.911061189213079
2.6126152199999995 -3.922384396794953
2.617620229999999 -3.933837664666488
2.62262524 -3.94541849384509
2.62763025 -3.9571243816563366
2.63263526 -3.9689528246650374
2.63764027 -3.980901321498645
2.6426452800000004 -3.992967375556327
2.6476502900000005 -4.005148497608034
2.6526553 -4.017442208280082
2.65766031 -4.029846040428113
2.66266532 -4.042357541398591
2.6676703299999995 -4.054974275180124
2.67267534 -4.067693824439141
2.67768035 -4.080513792451544
2.68268536 -4.093431804923457
2.6876903700000003 -4.106445511703797
2.69269538 -4.119552588391879
2.69770039 -4.132750737843065
2.7027054 -4.1460376915687105
2.707710410000001 -4.15941121103889
2.71271542 -4.172869088886896
2.717720430000001 -4.186409150014885
2.72272544 -4.200029252609503
2.72773045 -4.213727289064891
2.73273546 -4.2275011868160846
2.73774047 -4.241348909085804
2.74274548 -4.255268455548563
2.74775049 -4.269257862911753
2.7527555 -4.283315205420975
2.757760510000001 -4.297438595282972
2.76276552 -4.311626183021189
2.7677705300000004 -4.325876157756603
2.77277554 -4.340186747419526
2.77778055 -4.354556218898628
2.78278556 -4.3689828781227
2.7877905699999994 -4.3834650700843305
2.792795580000001 -4.3980011788019935
2.79780059 -4.412589627231066
2.8028056 -4.4272288771145565
2.80781061 -4.4419174287902825
2.81281562 -4.456653820943789
2.81782063 -4.471436630317233
2.82282564 -4.486264471373312
2.82783065 -4.501135995918323
2.83283566 -4.516049892686306
2.83784067 -4.531004886882452
2.8428456800000004 -4.545999739695387
2.8478506900000005 -4.561033247774465
2.8528557 -4.576104242673805
2.85786071 -4.591211590271941
2.86286572 -4.606354190158276
2.8678707299999995 -4.621530975000072
2.8728757399999996 -4.636740909881081
2.8778807500000005 -4.651982991619262
2.88288576 -4.667256248067376
2.88789077 -4.682559737390944
2.89289578 -4.69789254733122
2.8979007900000004 -4.71325379445479
2.9029058 -4.728642623384557
2.90791081 -4.74405820602119
2.9129158199999994 -4.759499740754817
2.91792083 -4.774966451665
2.92292584 -4.790457587711652
2.92793085 -4.805972421922204
2.93293586 -4.821510250568675
2.93794087 -4.83707039234398
2.9429458800000003 -4.852652187531652
2.9479508899999995 -4.8682549971756
2.9529559 -4.883878202245376
2.957960910000001 -4.899521202804768
2.96296592 -4.915183417176957
2.9679709300000003 -4.930864281115808
2.97297594 -4.946563246974101
2.97798095 -4.962279782878957
2.98298596 -4.97801337191165
2.9879909699999994 -4.993763511287445
2.99299598 -5.009529711546516
2.998000989999999 -5.025311495750112
3.003006 -5.041108398678116
3.00801101 -5.056919966043138
3.01301602 -5.072745753704796
3.01802103 -5.088585326899592
3.02302604 -5.104438259473883
3.02803105 -5.12030413313266
3.0330360600000006 -5.136182536692574
3.03804107 -5.152073065352677
3.0430460800000003 -5.167975319970861
3.0480510900000004 -5.1838889063554685
3.0530561 -5.199813434566552
3.05806111 -5.215748518234824
3.06306612 -5.231693773885768
3.0680711300000003 -5.247648820283874
3.0730761399999995 -5.263613277786799
3.07808115 -5.279586767715903
3.08308616 -5.295568911737853
3.0880911699999993 -5.3115593312644895
3.09309618 -5.327557646863307
3.0981011900000004 -5.343563477686648
3.1031062 -5.359576440914187
3.10811121 -5.375596151209371
3.11311622 -5.3916222201937725
3.1181212300000007 -5.407654255937209
3.12312624 -5.423691862458929
3.12813125 -5.439734639251372
3.13313626 -5.455782180815802
3.13814127 -5.471834076213672
3.14314628 -5.487889908634648
3.1481512900000004 -5.503949254982273
3.1531563 -5.52001168547538
3.15816131 -5.5360767632629
3.16316632 -5.55214404405759
3.16817133 -5.568213075785029
3.1731763399999995 -5.5842833982486
3.17818135 -5.600354542811996
3.183186360000001 -5.6164260320953705
3.1881913699999993 -5.632497379688015
3.19319638 -5.64856808987884
3.19820139 -5.664637657400905
3.2032064000000005 -5.6807055671915885
3.20821141 -5.696771294170205
3.21321642 -5.712834303028335
3.218221430000001 -5.728894048036096
3.22322644 -5.744949972868913
3.22823145 -5.761001510439899
3.23323646 -5.777048082754064
3.23824147 -5.79308910077734
3.24324648 -5.8091239643145
3.24825149 -5.825152061908896
3.2532565000000004 -5.8411727707498
3.2582615100000005 -5.857185456598181
3.263266520000001 -5.87318947372461
3.268271530000001 -5.8891841648601115
3.27327654 -5.905168861161789
3.27828155 -5.9211428821901935
3.2832865600000005 -5.937105535901046
3.28829157 -5.9530561186479725
3.29329658 -5.968993915198379
3.29830159 -5.984918198762534
3.3033066000000004 -6.000828231032878
3.30831161 -6.016723262235618
3.31331662 -6.032602531192901
3.31832163 -6.0484652653991
3.3233266400000003 -6.064310681101402
3.32833165 -6.080137983400693
3.33333666 -6.09594636635347
3.3383416700000006 -6.111735013088524
3.343346680000001 -6.127503095931339
3.3483516900000003 -6.143249776540864
3.3533567000000004 -6.158974206051561
3.35836171 -6.174675525226495
3.3633667200000006 -6.190352864618662
3.36837173 -6.206005344742022
3.37337674 -6.221632076245893
3.37838175 -6.237232160102981
3.3833867600000005 -6.252804687800909
3.3883917700000006 -6.268348741540413
3.39339678 -6.283863394444441
3.39840179 -6.299347710769209
3.4034068 -6.314800746124796
3.40841181 -6.330221547699349
3.41341682 -6.3456091544893205
3.4184218299999984 -6.360962597537192
3.4234268400000003 -6.376280900173603
3.42843185 -6.391563078261689
3.4334368600000005 -6.406808140446234
3.4384418700000006 -6.422015088413473
3.44344688 -6.4371829171469965
3.44845189 -6.45231061519108
3.4534569 -6.4673971649171005
3.4584619099999996 -6.482441542793788
3.4634669200000006 -6.497442719658735
3.46847193 -6.512399660995335
3.47347694 -6.527311327209471
3.47848195 -6.542176673908782
3.4834869599999996 -6.556994652187541
3.4884919700000006 -6.57176420890882
3.49349698 -6.586484286989366
3.49850199 -6.6011538256889
3.5035070000000004 -6.615771760895839
3.5085120099999996 -6.630337025416867
3.5135170200000005 -6.644848549268824
3.518522030000001 -6.659305259966221
3.52352704 -6.673706082811971
3.52853205 -6.688049941190886
3.5335370599999996 -6.702335756857006
3.5385420700000005 -6.716562450226366
3.54354708 -6.730728940666384
3.54855209 -6.744834146785328
3.5535571000000004 -6.758876986721448
3.5585621100000004 -6.7728563784315075
3.56356712 -6.786771239976317
