Frequency(GHz) s11
0.0 -6.024553354759856
0.00500501 -6.023219589471938
0.01001002 -6.021577994359907
0.01501503 -6.019117111755654
0.020020040000000003 -6.0158692928775
0.02502505 -6.011836390496991
0.03003006 -6.007034258089768
0.03503507000000001 -6.00146766158224
0.040040080000000006 -5.995140944441092
0.04504509000000001 -5.9880589904822425
0.0500501 -5.980227766023352
0.05505511 -5.971654580443375
0.06006012 -5.962348158073578
0.06506513000000001 -5.952318591400193
0.07007014000000002 -5.941577226643936
0.07507514999999998 -5.930136518357094
0.08008016000000001 -5.918009877039889
0.08508516999999999 -5.905211523711001
0.09009018 -5.8917563587412385
0.09509519000000001 -5.877659847796974
0.1001002 -5.862937924515025
0.10510521 -5.847606908556164
0.11011022 -5.831683436724403
0.11511523 -5.815184404887656
0.12012024 -5.798126918580903
0.12512525 -5.780528250307174
0.13013026 -5.76240580214558
0.13513527 -5.743777072424172
0.14014028 -5.724659625262733
0.14514529 -5.70507106276736
0.1501503 -5.685028998904672
0.15515531 -5.6645510348237105
0.16016032000000002 -5.64365473560887
0.16516533000000003 -5.622357607841235
0.17017034 -5.600677078357954
0.17517535 -5.578630473713212
0.18018036 -5.556235000626901
0.18518537 -5.533507727205774
0.19019038 -5.510465565146175
0.19519539 -5.48712525269335
0.20020040000000003 -5.463503338487233
0.20520541000000003 -5.439616166491738
0.21021042000000004 -5.415479861594015
0.21521543 -5.391110316331337
0.22022044 -5.366523178475335
0.22522545 -5.341733839537162
0.23023046 -5.3167574242975
0.23523547 -5.291608781176615
0.24024048 -5.266302473597823
0.24524549 -5.240852772237485
0.2502505 -5.215273648137053
0.25525551 -5.189578766774203
0.26026052 -5.163781482899935
0.26526553 -5.1378948362153976
0.27027054 -5.11193154786229
0.27527555 -5.085904017681347
0.28028056 -5.059824322177397
0.28528557 -5.033704213200826
0.29029058 -5.007555117264209
0.29529559 -4.981388135555839
0.3003006 -4.955214044460096
0.30530561 -4.929043296724258
0.31031062 -4.902886023063716
0.31531563 -4.876752034361017
0.32032064000000005 -4.85065082420527
