Frequency(GHz) s31_phase
0.0 0.0
0.00500501 -0.5767506201402434
0.01001002 -1.1104878862461884
0.01501503 -1.652541553429762
0.020020040000000003 -2.194524556679864
0.02502505 -2.7370911219587857
0.03003006 -3.278350805575965
0.03503507000000001 -3.818438639465308
0.040040080000000006 -4.357446356513768
0.04504509000000001 -4.895439926585182
0.0500501 -5.432468620690364
0.05505511 -5.9685699954873215
0.06006012 -6.503772807619238
0.06506513000000001 -7.03809882098266
0.07007014000000002 -7.571564034161285
0.07507514999999998 -8.10417958235405
0.08008016000000001 -8.635952447696706
0.08508516999999999 -9.166886055625195
0.09009018 -9.696980789793635
0.09509519000000001 -10.226234439424555
0.1001002 -10.75464259609618
0.10510521 -11.282199000673709
0.11011022 -11.808895848012671
0.11511523 -12.334724052572083
0.12012024 -12.85967347830109
0.12512525 -13.383733139162226
0.13013026 -13.906891371090792
0.13513527 -14.429135979585128
0.14014028 -14.950454370099765
0.14514529 -15.47083365601916
0.1501503 -15.990260754231636
0.15515531 -16.508722468058643
0.16016032000000002 -17.026205556078953
0.16516533000000003 -17.542696795082
0.17017034 -18.05818303132178
0.17517535 -18.572651227547986
0.18018036 -19.086088502339344
0.18518537 -19.598482165416804
0.19019038 -20.10981974701915
0.19519539 -20.62008902492018
0.20020040000000003 -21.129278048203552
0.20520541000000003 -21.637375155933128
0.21021042000000004 -22.144368996386294
0.21521543 -22.65024854168549
0.22022044 -23.155003101490006
0.22522545 -23.65862233518517
0.23023046 -24.161096261570034
0.23523547 -24.6624152682941
0.24024048 -25.16257011925444
0.24524549 -25.66155196120601
0.2502505 -26.15935232969383
0.25525551 -26.655963153149973
0.26026052 -27.15137675706745
0.26526553 -27.64558586723328
0.27027054 -28.138583612053793
0.27527555 -28.630363524196625
0.28028056 -29.120919541928057
0.28528557 -29.61024600970435
0.29029058 -30.098337678576513
0.29529559 -30.58518970544484
0.3003006 -31.07079765279335
0.30530561 -31.55515748714344
0.31031062 -32.03826557803052
0.31531563 -32.52011869559853
0.32032064000000005 -33.00071400904661
0.3253256500000001 -33.4800490832411
0.33033066000000005 -33.95812187730709
0.3353356700000001 -34.43493074033329
0.34034068 -34.91047440877214
0.34534569 -35.384752002938
0.35035070000000007 -35.857763023001034
0.35535571000000005 -36.32950734535704
0.36036072 -36.79998521872609
0.36536573 -37.269197259359366
0.37037074 -37.73714444720924
0.37537575 -38.20382812125482
0.38038076 -38.66924997464108
0.38538577 -39.13341205021181
0.39039078 -39.59631673550222
0.39539579 -40.05796675762963
0.40040080000000006 -40.51836517873929
0.40540581 -40.977515390268614
0.41041082000000007 -41.43542110818159
0.41541583000000004 -41.89208636767113
0.4204208400000001 -42.34751551774527
0.42542585 -42.801713216110066
0.43043086 -43.2546844237275
0.43543587 -43.70643439930858
0.44044088000000003 -44.15696869418951
0.44544589 -44.60629314684275
0.45045090000000004 -45.05441383186356
0.4554559100000001 -45.50133723688473
0.46046092000000005 -45.94706998385456
0.4654659300000001 -46.39161900590157
0.47047094 -46.83499149657985
0.47547595 -47.27719490427666
0.48048096 -47.718236927234
0.48548597 -48.158125508116285
0.49049098 -48.59686882907388
0.49549599 -49.034475306254016
0.500501 -49.47095358495809
0.50550601 -49.90631253473589
0.51051102 -50.34056124387672
0.51551603 -50.77370901515578
0.52052104 -51.20576536046542
0.52552605 -51.63673999629149
0.53053106 -52.06664283896925
0.53553607 -52.49548399988999
0.54054108 -52.92327378125522
0.54554609 -53.35002267115627
0.5505511 -53.77574133943639
0.55555611 -54.200440633372345
0.56056112 -54.624131573240355
0.5655661299999999 -55.046825348244795
0.57057114 -55.46853331258201
0.5755761500000001 -55.889266981048735
0.58058116 -56.30903802553673
0.58558617 -56.72785827097554
0.59059118 -57.14573969165388
0.59559619 -57.56269440754597
0.6006012 -57.97873468073535
0.60560621 -58.39387291202192
0.61061122 -58.80812163736573
0.61561623 -59.221493524866894
0.62062124 -59.63400137124432
0.62562625 -60.04565809899055
0.63063126 -60.45647675311791
0.63563627 -60.86647049833801
0.6406412800000001 -61.27565261625861
0.64564629 -61.68403650251433
0.6506513000000002 -62.09163566418141
0.65565631 -62.49846371706861
0.6606613200000001 -62.90453438343433
0.66566633 -63.30986148931143
0.6706713400000002 -63.71445896238348
0.67567635 -64.11834082964937
0.68068136 -64.52152121538033
0.68568637 -64.92401433881659
0.69069138 -65.3258345124085
0.69569639 -65.72699613984396
0.7007014000000001 -66.12751371406993
0.70570641 -66.52740181587293
0.7107114200000001 -66.9266751118369
0.71571643 -67.32534835297116
0.72072144 -67.72343637317344
0.7257264499999999 -68.12095408774891
0.7307314599999999 -68.51791649213568
0.73573647 -68.91433866037325
0.74074148 -69.31023574420787
0.74574649 -69.70562297170576
0.7507514999999999 -70.10051564628021
0.7557565099999999 -70.49492914562288
0.76076152 -70.88887892084789
0.76576653 -71.28238049552263
0.77077154 -71.67544946489335
0.7757765499999999 -72.06810149513855
0.7807815599999999 -72.46035232264566
0.7857865699999999 -72.85221775348454
0.7907915799999998 -73.24371366264992
0.7957965900000001 -73.63485599380039
0.8008016000000001 -74.02566075857229
0.8058066099999999 -74.41614403633353
0.8108116199999998 -74.80632197377345
0.8158166300000002 -75.19621078463057
0.8208216400000001 -75.58582674941523
0.8258266500000001 -75.97518621529514
0.8308316600000001 -76.36430559584328
0.8358366700000002 -76.75320137105798
0.8408416800000001 -77.14189008723683
0.8458466900000001 -77.53038835692729
0.8508516999999999 -77.91871285910875
0.8558567100000001 -78.30688033908646
0.8608617199999998 -78.69490760874552
0.8658667300000001 -79.08281154663214
0.8708717399999999 -79.47060909814367
0.8758767500000001 -79.8583172757476
0.8808817600000001 -80.2459531592898
0.8858867699999999 -80.63353389617964
0.8908917799999999 -81.02107670179107
0.8958967900000001 -81.40859885976097
0.9009018 -81.79611772234394
0.90590681 -82.18365071086323
0.91091182 -82.571215316042
0.91591683 -82.95882909847836
0.92092184 -83.3465096891088
0.92592685 -83.73427478967358
0.93093186 -84.12214217316945
0.93593687 -84.5101296843724
0.9409418800000001 -84.89825524034022
0.94594689 -85.28653683089492
0.9509519000000001 -85.67499251923283
0.95595691 -86.06364044234226
0.9609619200000001 -86.45249881160291
0.96596693 -86.84158591331229
0.97097194 -87.23092010917264
0.97597695 -87.62051983682173
0.98098196 -88.0104036103696
0.98598697 -88.40059002093533
0.99099198 -88.79109773704165
0.99599699 -89.18194550514959
1.001002 -89.57315215014961
1.00600701 -89.96473657575368
1.01101202 -90.35671785600579
1.01601703 -90.74911487132296
1.02102204 -91.14194685536992
1.02602705 -91.53523303107794
1.03103206 -91.92899270197064
1.0360370699999997 -92.32324525243097
1.04104208 -92.71801014794161
1.04604709 -93.11330693516393
1.0510521 -93.50915524215566
1.0560571099999998 -93.90557477834629
1.0610621199999997 -94.30258533456626
1.06606713 -94.70020678299338
1.07107214 -95.09845907701059
1.07607715 -95.49736225098614
1.08108216 -95.8969364200506
1.08608717 -96.29720177965848
1.09109218 -96.69817860528912
1.09609719 -97.09988725173615
1.1011022 -97.50234815263283
1.1061072099999996 -97.90558181964762
1.11111222 -98.30960884171799
1.11611723 -98.71444988403091
1.12112224 -99.1201256870605
1.12612725 -99.52665706532538
1.1311322599999996 -99.9340649060986
1.13613727 -100.3423701680121
1.14114228 -100.751593879428
1.14614729 -101.16175713670253
1.1511523 -101.57288110237305
1.15615731 -101.98498700307864
1.16116232 -102.39809612729069
1.16616733 -102.81222982308886
1.17117234 -103.22740949539651
1.17617735 -103.64365660341444
1.18118236 -104.06099265749543
1.18618737 -104.47943921614156
1.19119238 -104.89901788249747
1.19619739 -105.31975030084166
1.2012024 -105.74165815270038
1.20620741 -106.16476315280995
1.21121242 -106.5890870448192
1.21621743 -107.01465159667642
1.22122244 -107.44147859578504
1.2262274499999997 -107.86958984387871
1.23123246 -108.29900715170656
1.23623747 -108.72975233315812
1.24124248 -109.16184719944994
1.24624749 -109.59531355266164
1.2512525 -110.03017317911063
1.25625751 -110.46644784247444
1.26126252 -110.90415927631318
1.26626753 -111.34332917645206
1.27127254 -111.78397919297372
1.27627755 -112.22613092171068
1.28128256 -112.66980589546212
1.28628757 -113.1150255748304
1.29129258 -113.56181133849172
1.29629759 -114.01018447328232
1.3013026 -114.46016616366154
1.3063076099999995 -114.91177748083987
1.31131262 -115.36503937144506
1.31631763 -115.81997264570498
1.3213226400000002 -116.27659796518064
1.3263276499999999 -116.73493583004505
1.33133266 -117.19500656590196
1.3363376699999998 -117.6568303100034
1.34134268 -118.12042699713524
1.34634769 -118.58581634484275
1.3513527 -119.05301783830006
1.35635771 -119.52205071450553
1.36136272 -119.99293394612896
1.3663677299999997 -120.46568622464424
1.37137274 -120.94032594313096
1.37637775 -121.41687117841929
1.38138276 -121.8953396727802
1.38638777 -122.37574881498492
1.3913927799999997 -122.85811562100047
1.3963977900000004 -123.34245671395922
1.4014028 -123.82878830384692
1.40640781 -124.31712616647349
1.41141282 -124.80748562198518
1.4164178299999997 -125.29988151298392
1.42142284 -125.79432818203468
1.42642785 -126.29083944876736
1.43143286 -126.78942858647883
1.4364378699999996 -127.29010829834432
1.44144288 -127.79289069314171
1.44644789 -128.29778726061528
1.4514529 -128.8048088465008
1.4564579099999995 -129.31396562702577
1.46146292 -129.82526708335246
1.4664679299999999 -130.3387219754938
1.47147294 -130.85433831608225
1.47647795 -131.372123343926
1.48148296 -131.89208349732712
1.48648797 -132.41422438729316
1.49149298 -132.93855077070148
1.49649799 -133.46506652334347
1.501503 -133.99377461302385
1.50650801 -134.52467707273465
1.51151302 -135.057774928411
1.5165180300000003 -135.59306835456022
1.52152304 -136.13055637481548
1.52652805 -136.67023701806255
1.53153306 -137.2121072474823
1.5365380699999995 -137.75616293546793
1.54154308 -138.30239883906043
1.54654809 -138.8508085761981
1.5515531 -139.4013846025165
1.5565581099999997 -139.95411818907095
1.56156312 -140.5089994008844
1.5665681299999998 -141.0660170765736
1.57157314 -141.62515880901591
1.57657815 -142.18641092723678
1.5815831599999997 -142.74975847954494
1.5865881699999995 -143.31518521815843
1.5915931800000005 -143.8826735852396
1.59659819 -144.4522047005228
1.6016032000000002 -145.02375835079815
1.6066082099999999 -145.59731298103185
1.61161322 -146.17284568746433
1.6166182299999998 -146.75033221278284
1.62162324 -147.32974694340692
1.6266282500000002 -147.911062908882
1.6316332600000005 -148.49425178382054
1.63663827 -149.07928389204952
1.6416432800000003 -149.66612821336733
1.64664829 -150.2547523929613
1.6516533000000002 -150.84512275341547
1.6566583099999999 -151.4372043095601
1.66166332 -152.03096078608016
1.6666683299999998 -152.62635463820706
1.6716733400000006 -153.2233470751898
1.6766783500000002 -153.82189808684717
1.6816833600000003 -154.42196647335595
1.68668837 -155.02350987788597
1.6916933800000002 -155.6264848225815
1.6966983899999997 -156.2308467476049
1.7017034 -156.8365500533278
1.7067084099999998 -157.4435481457633
1.71171342 -158.05179348505015
1.7167184300000002 -158.66123763709734
1.7217234399999997 -159.27183132834483
1.72672845 -159.88352450345695
1.7317334600000003 -160.49626638600648
1.73673847 -161.11000554213865
1.7417434799999996 -161.72468994692068
1.7467484899999997 -162.34026705337124
1.7517535 -162.9566838641242
1.7567585100000003 -163.573887005585
1.76176352 -164.1918228041824
1.7667685299999996 -164.81043736502232
1.7717735399999999 -165.42967665230591
1.77677855 -166.04948657164977
1.7817835599999998 -166.66981305402166
1.78678857 -167.29060214092493
1.7917935800000002 -167.91180007107508
1.7967985899999999 -168.5333533675881
1.8018036 -169.1552089263485
1.80680861 -169.77731410453862
1.81181362 -170.39961680960425
1.81681863 -171.02206558804875
1.8218236400000005 -171.64460971406518
1.82682865 -172.2671992775064
1.83183366 -172.8897852712477
1.83683867 -173.51231967713125
1.84184368 -174.1347555508956
1.84684869 -174.75704710525807
1.8518537 -175.37914979116735
1.85685871 -176.0010203768705
1.86186372 -176.62261702456655
1.8668687299999995 -177.2438993643524
1.87187374 -177.86482856522838
1.87687875 -178.48536740289185
1.88188376 -179.10548032415235
1.88688877 -179.72513350763327
1.89189378 179.65570507942473
1.89689879 179.03706562829316
1.9019038 178.41897644032437
1.90690881 177.80146388291686
1.91191382 177.18455235003088
1.91691883 176.56826422756757
1.92192384 175.95261986357406
1.92692885 175.33763754351077
1.93193386 174.72333347054837
1.93693887 174.10972175123152
1.94194388 173.49681438615872
1.94694889 172.88462126623793
1.9519539 172.2731501740124
1.95695891 171.66240679049747
1.96196392 171.05239470732573
1.96696893 170.4431154441331
1.97197394 169.83456847118953
1.97697895 169.2267512373203
1.98198396 168.61965920278453
1.98698897 168.0132858772789
1.99199398 167.40762286271746
1.9969989899999996 166.8026599008251
2.0020040000000003 166.19838492529735
2.00700901 165.5947841183602
2.01201402 164.9918419715609
2.01701903 164.3895413506903
2.02202404 163.78786356439937
2.02702905 163.18678843656335
2.03203406 162.58629438185056
2.03703907 161.98635848464886
2.04204408 161.38695658062798
2.04704909 160.78806334112315
2.0520541000000003 160.18965235967664
2.05705911 159.5916962408002
2.06206412 158.99416669053085
2.06706913 158.39703460829097
2.07207414 157.80027018020854
2.0770791500000003 157.20384297321976
2.08208416 156.60772202988645
2.08708917 156.01187596350093
2.09209418 155.41627305326404
2.09709919 154.82088133928875
2.1021042000000003 154.22566871707764
2.10710921 153.63060303112195
2.11211422 153.0356521676668
2.11711923 152.4407841458878
2.12212424 151.84596720774675
2.12712925 151.2511699058175
2.13213426 150.65636118924763
2.13713927 150.0615104872849
2.14214428 149.4665877903268
2.1471492900000007 148.87156372836893
2.1521543 148.27640964640204
2.15715931 147.6810976768259
2.16216432 147.08560080853331
2.16716933 146.48989295272537
2.17217434 145.89394900501082
2.17717935 145.29774490396557
2.18218436 144.70125768581892
2.18718937 144.104465535378
2.19219438 143.50734783285924
2.1971993899999993 142.9098851967655
2.2022044 142.31205952273052
2.2072094100000004 141.71385401814393
2.2122144199999996 141.11525323269203
2.21721943 140.51624308481104
2.22222444 139.91681088390277
2.22722945 139.31694534845633
2.23223446 138.7166366201706
2.2372394699999996 138.11587627386004
2.24224448 137.51465732361754
2.24724949 136.91297422484243
2.2522545 136.31082287254424
2.2572595100000004 135.70820059597037
2.2622645199999996 135.10510614941393
2.2672695300000005 134.50153974530724
