#
#"Frequency / GHz"	"S1,1 [Phase / deg]"
#--------------------------------------
1.2000000000000	147.07772712439
1.2020000000000	146.94909549711
1.2040000000000	146.82018676167
1.2060000000000	146.69100071773
1.2080000000000	146.56153716884
1.2100000000000	146.43179592248
1.2120000000000	146.30177679013
1.2140000000000	146.17147958735
1.2160000000000	146.04090413385
1.2180000000000	145.91005025355
1.2200000000000	145.77891777466
1.2220000000000	145.64750652974
1.2240000000000	145.51581635584
1.2260000000000	145.38384709448
1.2280000000000	145.25159859181
1.2300000000000	145.11907069867
1.2320000000000	144.98626327067
1.2340000000000	144.85317616826
1.2360000000000	144.71980925686
1.2380000000000	144.58616240691
1.2400000000000	144.45223549399
1.2420000000000	144.31802839891
1.2440000000000	144.18354100778
1.2460000000000	144.04877321216
1.2480000000000	143.91372490911
1.2500000000000	143.77839600132
1.2520000000000	143.64278639724
1.2540000000000	143.50689601114
1.2560000000000	143.37072476323
1.2580000000000	143.23427257982
1.2600000000000	143.09753939338
1.2620000000000	142.96052514269
1.2640000000000	142.82322977297
1.2660000000000	142.68565323597
1.2680000000000	142.54779549012
1.2700000000000	142.40965650067
1.2720000000000	142.27123623980
1.2740000000000	142.13253468677
1.2760000000000	141.99355182806
1.2780000000000	141.85428765752
1.2800000000000	141.71474217648
1.2820000000000	141.57491539394
1.2840000000000	141.43480732671
1.2860000000000	141.29441799957
1.2880000000000	141.15374744541
1.2900000000000	141.01279570540
1.2920000000000	140.87156282918
1.2940000000000	140.73004887502
1.2960000000000	140.58825390995
1.2980000000000	140.44617801002
1.3000000000000	140.30382126042
1.3020000000000	140.16118375566
1.3040000000000	140.01826559984
1.3060000000000	139.87506690673
1.3080000000000	139.73158780006
1.3100000000000	139.58782841369
1.3120000000000	139.44378889180
1.3140000000000	139.29946938914
1.3160000000000	139.15487007122
1.3180000000000	139.00999111452
1.3200000000000	138.86483270677
1.3220000000000	138.71939504710
1.3240000000000	138.57367834636
1.3260000000000	138.42768282729
1.3280000000000	138.28140872483
1.3300000000000	138.13485628630
1.3320000000000	137.98802577172
1.3340000000000	137.84091745404
1.3360000000000	137.69353161942
1.3380000000000	137.54586856749
1.3400000000000	137.39792861163
1.3420000000000	137.24971207927
1.3440000000000	137.10121931217
1.3460000000000	136.95245066671
1.3480000000000	136.80340651421
1.3500000000000	136.65408724121
1.3520000000000	136.50449324982
1.3540000000000	136.35462495801
1.3560000000000	136.20448279997
1.3580000000000	136.05406722641
1.3600000000000	135.90337870492
1.3620000000000	135.75241772031
1.3640000000000	135.60118477497
1.3660000000000	135.44968038925
1.3680000000000	135.29790510178
1.3700000000000	135.14585946989
1.3720000000000	134.99354406998
1.3740000000000	134.84095949790
1.3760000000000	134.68810636937
1.3780000000000	134.53498532035
1.3800000000000	134.38159700749
1.3820000000000	134.22794210854
1.3840000000000	134.07402132276
1.3860000000000	133.91983537140
1.3880000000000	133.76538499808
1.3900000000000	133.61067096932
1.3920000000000	133.45569407492
1.3940000000000	133.30045512851
1.3960000000000	133.14495496797
1.3980000000000	132.98919445594
1.4000000000000	132.83317448032
1.4020000000000	132.67689595476
1.4040000000000	132.52035981919
1.4060000000000	132.36356704031
1.4080000000000	132.20651861218
1.4100000000000	132.04921555670
1.4120000000000	131.89165892420
1.4140000000000	131.73384979395
1.4160000000000	131.57578927481
1.4180000000000	131.41747850572
1.4200000000000	131.25891865635
1.4220000000000	131.10011092766
1.4240000000000	130.94105655252
1.4260000000000	130.78175679634
1.4280000000000	130.62221295766
1.4300000000000	130.46242636883
1.4320000000000	130.30239839661
1.4340000000000	130.14213044286
1.4360000000000	129.98162394520
1.4380000000000	129.82088037767
1.4400000000000	129.65990125143
1.4420000000000	129.49868811544
1.4440000000000	129.33724255720
1.4460000000000	129.17556620341
1.4480000000000	129.01366072076
1.4500000000000	128.85152781661
1.4520000000000	128.68916923978
1.4540000000000	128.52658678126
1.4560000000000	128.36378227504
1.4580000000000	128.20075759883
1.4600000000000	128.03751467485
1.4620000000000	127.87405547069
1.4640000000000	127.71038200002
1.4660000000000	127.54649632350
1.4680000000000	127.38240054954
1.4700000000000	127.21809683516
1.4720000000000	127.05358738685
1.4740000000000	126.88887446140
1.4760000000000	126.72396036680
1.4780000000000	126.55884746306
1.4800000000000	126.39353816317
1.4820000000000	126.22803493391
1.4840000000000	126.06234029682
1.4860000000000	125.89645682908
1.4880000000000	125.73038716444
1.4900000000000	125.56413399412
1.4920000000000	125.39770006782
1.4940000000000	125.23108819456
1.4960000000000	125.06430124375
1.4980000000000	124.89734214605
1.5000000000000	124.73021389440
1.5020000000000	124.56291954498
1.5040000000000	124.39546221817
1.5060000000000	124.22784509960
1.5080000000000	124.06007144106
1.5100000000000	123.89214456159
1.5120000000000	123.72406784843
1.5140000000000	123.55584475804
1.5160000000000	123.38747881715
1.5180000000000	123.21897362375
1.5200000000000	123.05033284815
1.5220000000000	122.88156023395
1.5240000000000	122.71265959917
1.5260000000000	122.54363483719
1.5280000000000	122.37448991785
1.5300000000000	122.20522888848
1.5320000000000	122.03585587494
1.5340000000000	121.86637508266
1.5360000000000	121.69679079768
1.5380000000000	121.52710738771
1.5400000000000	121.35732930318
1.5420000000000	121.18746107825
1.5440000000000	121.01750733188
1.5460000000000	120.84747276885
1.5480000000000	120.67736218081
1.5500000000000	120.50718044729
1.5520000000000	120.33693253675
1.5540000000000	120.16662350756
1.5560000000000	119.99625850907
1.5580000000000	119.82584278257
1.5600000000000	119.65538166230
1.5620000000000	119.48488057645
1.5640000000000	119.31434504812
1.5660000000000	119.14378069633
1.5680000000000	118.97319323691
1.5700000000000	118.80258848352
1.5720000000000	118.63197234854
1.5740000000000	118.46135084397
1.5760000000000	118.29073008240
1.5780000000000	118.12011627783
1.5800000000000	117.94951574658
1.5820000000000	117.77893490811
1.5840000000000	117.60838028590
1.5860000000000	117.43785850820
1.5880000000000	117.26737630889
1.5900000000000	117.09694052819
1.5920000000000	116.92655811344
1.5940000000000	116.75623611980
1.5960000000000	116.58598171095
1.5980000000000	116.41580215978
1.6000000000000	116.24570484899
1.6020000000000	116.07569727175
1.6040000000000	115.90578703222
1.6060000000000	115.73598184616
1.6080000000000	115.56628954140
1.6100000000000	115.39671805833
1.6120000000000	115.22727545038
1.6140000000000	115.05796988440
1.6160000000000	114.88880964102
1.6180000000000	114.71980311503
1.6200000000000	114.55095881563
1.6220000000000	114.38228536673
1.6240000000000	114.21379150710
1.6260000000000	114.04548609061
1.6280000000000	113.87737808628
1.6300000000000	113.70947657843
1.6320000000000	113.54179076667
1.6340000000000	113.37432996589
1.6360000000000	113.20710360620
1.6380000000000	113.04012123283
1.6400000000000	112.87339250594
1.6420000000000	112.70692720043
1.6440000000000	112.54073520566
1.6460000000000	112.37482652512
1.6480000000000	112.20921127608
1.6500000000000	112.04389968915
1.6520000000000	111.87890210777
1.6540000000000	111.71422898772
1.6560000000000	111.54989089646
1.6580000000000	111.38589851255
1.6600000000000	111.22226262485
1.6620000000000	111.05899413184
1.6640000000000	110.89610404071
1.6660000000000	110.73360346653
1.6680000000000	110.57150363129
1.6700000000000	110.40981586288
1.6720000000000	110.24855159402
1.6740000000000	110.08772236119
1.6760000000000	109.92733980338
1.6780000000000	109.76741566092
1.6800000000000	109.60796177412
1.6820000000000	109.44899008197
1.6840000000000	109.29051262070
1.6860000000000	109.13254152235
1.6880000000000	108.97508901322
1.6900000000000	108.81816741229
1.6920000000000	108.66178912964
1.6940000000000	108.50596666476
1.6960000000000	108.35071260482
1.6980000000000	108.19603962289
1.7000000000000	108.04196047616
1.7020000000000	107.88848800404
1.7040000000000	107.73563512631
1.7060000000000	107.58341484113
1.7080000000000	107.43184022312
1.7100000000000	107.28092442130
1.7120000000000	107.13068065710
1.7140000000000	106.98112222224
1.7160000000000	106.83226247672
1.7180000000000	106.68411484663
1.7200000000000	106.53669282208
1.7220000000000	106.39000995501
1.7240000000000	106.24407985710
1.7260000000000	106.09891619759
1.7280000000000	105.95453270111
1.7300000000000	105.81094314558
1.7320000000000	105.66816136001
1.7340000000000	105.52620122245
1.7360000000000	105.38507665785
1.7380000000000	105.24480163598
1.7400000000000	105.10539016942
1.7420000000000	104.96685631153
1.7440000000000	104.82921415453
1.7460000000000	104.69247782756
1.7480000000000	104.55666149486
1.7500000000000	104.42177935398
1.7520000000000	104.28784563409
1.7540000000000	104.15487459435
1.7560000000000	104.02288052238
1.7580000000000	103.89187773285
1.7600000000000	103.76188056611
1.7620000000000	103.63290338700
1.7640000000000	103.50496058379
1.7660000000000	103.37806656719
1.7680000000000	103.25223576957
1.7700000000000	103.12748264428
1.7720000000000	103.00382166520
1.7740000000000	102.88126732637
1.7760000000000	102.75983414190
1.7780000000000	102.63953664601
1.7800000000000	102.52038939334
1.7820000000000	102.40240695938
1.7840000000000	102.28560394125
1.7860000000000	102.16999495863
1.7880000000000	102.05559465498
1.7900000000000	101.94241769905
1.7920000000000	101.83047878663
1.7940000000000	101.71979264261
1.7960000000000	101.61037402336
1.7980000000000	101.50223771941
1.8000000000000	101.39539855852
1.8020000000000	101.28987140897
1.8040000000000	101.18567118341
1.8060000000000	101.08281284289
1.8080000000000	100.98131140147
1.8100000000000	100.88118193107
1.8120000000000	100.78243956688
1.8140000000000	100.68509951315
1.8160000000000	100.58917704949
1.8180000000000	100.49468753756
1.8200000000000	100.40164642836
1.8220000000000	100.31006926998
1.8240000000000	100.21997171588
1.8260000000000	100.13136953378
1.8280000000000	100.04427861503
1.8300000000000	99.958714984656
1.8320000000000	99.874694811999
1.8340000000000	99.792234421958
1.8360000000000	99.711350306928
1.8380000000000	99.632059139400
1.8400000000000	99.554377785274
1.8420000000000	99.478323317890
1.8440000000000	99.403913032822
1.8460000000000	99.331164463441
1.8480000000000	99.260095397290
1.8500000000000	99.190723893290
1.8520000000000	99.123068299799
1.8540000000000	99.057147273574
1.8560000000000	98.992979799647
1.8580000000000	98.930585212147
1.8600000000000	98.869983216123
1.8620000000000	98.811193910372
1.8640000000000	98.754237811334
1.8660000000000	98.699135878070
1.8680000000000	98.645909538384
1.8700000000000	98.594580716106
1.8720000000000	98.545171859597
1.8740000000000	98.497705971515
1.8760000000000	98.452206639884
1.8780000000000	98.408698070522
1.8800000000000	98.367205120869
1.8820000000000	98.327753335286
1.8840000000000	98.290368981864
1.8860000000000	98.255079090814
1.8880000000000	98.221911494490
1.8900000000000	98.190894869123
1.8920000000000	98.162058778332
1.8940000000000	98.135433718471
1.8960000000000	98.111051165914
1.8980000000000	98.088943626335
1.9000000000000	98.069144686086
1.9020000000000	98.051689065754
1.9040000000000	98.036612675994
1.9060000000000	98.023952675741
1.9080000000000	98.013747532909
1.9100000000000	98.006037087683
1.9120000000000	98.000862618528
1.9140000000000	97.998266911041
1.9160000000000	97.998294329778
1.9180000000000	98.000990893195
1.9200000000000	98.006404351854
1.9220000000000	98.014584270054
1.9240000000000	98.025582111043
1.9260000000000	98.039451326007
1.9280000000000	98.056247446999
1.9300000000000	98.076028184026
1.9320000000000	98.098853526487
1.9340000000000	98.124785849201
1.9360000000000	98.153890023236
1.9380000000000	98.186233531813
1.9400000000000	98.221886591521
1.9420000000000	98.260922279141
1.9440000000000	98.303416664361
1.9460000000000	98.349448948697
1.9480000000000	98.399101610942
1.9500000000000	98.452460559495
1.9520000000000	98.509615291934
1.9540000000000	98.570659062215
1.9560000000000	98.635689055913
1.9580000000000	98.704806573924
1.9600000000000	98.778117225096
1.9620000000000	98.855731128242
1.9640000000000	98.937763124070
1.9660000000000	99.024332997529
1.9680000000000	99.115565711140
1.9700000000000	99.211591649897
1.9720000000000	99.312546878338
1.9740000000000	99.418573410432
1.9760000000000	99.529819492951
1.9780000000000	99.646439903016
1.9800000000000	99.768596260548
1.9820000000000	99.896457356368
1.9840000000000	100.03019949673
1.9860000000000	100.17000686511
1.9880000000000	100.31607190198
1.9900000000000	100.46859570361
1.9920000000000	100.62778844049
1.9940000000000	100.79386979650
1.9960000000000	100.96706942950
1.9980000000000	101.14762745429
2.0000000000000	101.33579494888
2.0020000000000	101.53183448462
2.0040000000000	101.73602068133
2.0060000000000	101.94864078782
2.0080000000000	102.16999528865
2.0100000000000	102.40039853757
2.0120000000000	102.64017941799
2.0140000000000	102.88968203083
2.0160000000000	103.14926640953
2.0180000000000	103.41930926216
2.0200000000000	103.70020473983
2.0220000000000	103.99236523058
2.0240000000000	104.29622217701
2.0260000000000	104.61222691588
2.0280000000000	104.94085153666
2.0300000000000	105.28258975560
2.0320000000000	105.63795780077
2.0340000000000	106.00749530238
2.0360000000000	106.39176618132
2.0380000000000	106.79135952757
2.0400000000000	107.20689045782
2.0420000000000	107.63900094019
2.0440000000000	108.08836057089
2.0460000000000	108.55566728541
2.0480000000000	109.04164798327
2.0500000000000	109.54705904197
2.0520000000000	110.07268669161
2.0540000000000	110.61934721693
2.0560000000000	111.18788694865
2.0580000000000	111.77918199973
2.0600000000000	112.39413769655
2.0620000000000	113.03368764738
2.0640000000000	113.69879238380
2.0660000000000	114.39043750240
2.0680000000000	115.10963122612
2.0700000000000	115.85740129659
2.0720000000000	116.63479110018
2.0740000000000	117.44285492374
2.0760000000000	118.28265222879
2.0780000000000	119.15524082882
2.0800000000000	120.06166885173
2.0820000000000	121.00296537083
2.0840000000000	121.98012959373
2.0860000000000	122.99411851020
2.0880000000000	124.04583291950
2.0900000000000	125.13610178584
2.0920000000000	126.26566490957
2.0940000000000	127.43515395281
2.0960000000000	128.64507192209
2.0980000000000	129.89577128893
2.1000000000000	131.18743102098
2.1020000000000	132.52003290032
2.1040000000000	133.89333761963
2.1060000000000	135.30686126599
2.1080000000000	136.75985291957
2.1100000000000	138.25127420316
2.1120000000000	139.77978170616
2.1140000000000	141.34371326353
2.1160000000000	142.94107908330
2.1180000000000	144.56955867409
2.1200000000000	146.22650441826
2.1220000000000	147.90895246171
2.1240000000000	149.61364134785
2.1260000000000	151.33703851876
2.1280000000000	153.07537445655
2.1300000000000	154.82468386184
2.1320000000000	156.58085289451
2.1340000000000	158.33967116128
2.1360000000000	160.09688685744
2.1380000000000	161.84826328017
2.1400000000000	163.58963484699
2.1420000000000	165.31696078353
2.1440000000000	167.02637478578
2.1460000000000	168.71422920143
2.1480000000000	170.37713258870
2.1500000000000	172.01197987213
2.1520000000000	173.61597469247
2.1540000000000	175.18664391309
2.1560000000000	176.72184457382
2.1580000000000	178.21976385657
2.1600000000000	179.67891283456
2.1620000000000	-178.90188508464
2.1640000000000	-177.52351004136
2.1660000000000	-176.18656493833
2.1680000000000	-174.89139703242
2.1700000000000	-173.63812102308
2.1720000000000	-172.42664285726
2.1740000000000	-171.25668358484
2.1760000000000	-170.12780271814
2.1780000000000	-169.03942066610
2.1800000000000	-167.99083992266
2.1820000000000	-166.98126478708
2.1840000000000	-166.00981947828
2.1860000000000	-165.07556457606
2.1880000000000	-164.17751177916
2.1900000000000	-163.31463701444
2.1920000000000	-162.48589196476
2.1940000000000	-161.69021410617
2.1960000000000	-160.92653536054
2.1980000000000	-160.19378947797
2.2000000000000	-159.49091826685
2.2020000000000	-158.81687678847
2.2040000000000	-158.17063762966
2.2060000000000	-157.55119436107
2.2080000000000	-156.95756428162
2.2100000000000	-156.38879054181
2.2120000000000	-155.84394373053
2.2140000000000	-155.32212300151
2.2160000000000	-154.82245680785
2.2180000000000	-154.34410330521
2.2200000000000	-153.88625047730
2.2220000000000	-153.44811603056
2.2240000000000	-153.02894709914
2.2260000000000	-152.62801979545
2.2280000000000	-152.24463863724
2.2300000000000	-151.87813587727
2.2320000000000	-151.52787075817
2.2340000000000	-151.19322871153
2.2360000000000	-150.87362051737
2.2380000000000	-150.56848143751
2.2400000000000	-150.27727033415
2.2420000000000	-149.99946878306
2.2440000000000	-149.73458018901
2.2460000000000	-149.48212890985
2.2480000000000	-149.24165939407
2.2500000000000	-149.01273533610
2.2520000000000	-148.79493885227
2.2540000000000	-148.58786967988
2.2560000000000	-148.39114440124
2.2580000000000	-148.20439569368
2.2600000000000	-148.02727160654
2.2620000000000	-147.85943486542
2.2640000000000	-147.70056220391
2.2660000000000	-147.55034372265
2.2680000000000	-147.40848227536
2.2700000000000	-147.27469288153
2.2720000000000	-147.14870216496
2.2740000000000	-147.03024781774
2.2760000000000	-146.91907808858
2.2780000000000	-146.81495129504
2.2800000000000	-146.71763535859
2.2820000000000	-146.62690736164
