#
#"Frequency / GHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
1.2000000000000	-2.7866464119052
1.2020000000000	-2.7911235497248
1.2040000000000	-2.7956602154659
1.2060000000000	-2.8002567728645
1.2080000000000	-2.8049135879823
1.2100000000000	-2.8096310292280
1.2120000000000	-2.8144094673789
1.2140000000000	-2.8192492756024
1.2160000000000	-2.8241508294776
1.2180000000000	-2.8291145070177
1.2200000000000	-2.8341406886925
1.2220000000000	-2.8392297574505
1.2240000000000	-2.8443820987424
1.2260000000000	-2.8495981005438
1.2280000000000	-2.8548781533787
1.2300000000000	-2.8602226503435
1.2320000000000	-2.8656319871302
1.2340000000000	-2.8711065620516
1.2360000000000	-2.8766467760647
1.2380000000000	-2.8822530327961
1.2400000000000	-2.8879257385670
1.2420000000000	-2.8936653024181
1.2440000000000	-2.8994721361353
1.2460000000000	-2.9053466542757
1.2480000000000	-2.9112892741934
1.2500000000000	-2.9173004160660
1.2520000000000	-2.9233805029213
1.2540000000000	-2.9295299606639
1.2560000000000	-2.9357492181029
1.2580000000000	-2.9420387069789
1.2600000000000	-2.9483988619920
1.2620000000000	-2.9548301208297
1.2640000000000	-2.9613329241953
1.2660000000000	-2.9679077158364
1.2680000000000	-2.9745549425739
1.2700000000000	-2.9812750543308
1.2720000000000	-2.9880685041620
1.2740000000000	-2.9949357482839
1.2760000000000	-3.0018772461042
1.2780000000000	-3.0088934602525
1.2800000000000	-3.0159848566103
1.2820000000000	-3.0231519043424
1.2840000000000	-3.0303950759276
1.2860000000000	-3.0377148471901
1.2880000000000	-3.0451116973314
1.2900000000000	-3.0525861089618
1.2920000000000	-3.0601385681330
1.2940000000000	-3.0677695643700
1.2960000000000	-3.0754795907046
1.2980000000000	-3.0832691437076
1.3000000000000	-3.0911387235223
1.3020000000000	-3.0990888338983
1.3040000000000	-3.1071199822248
1.3060000000000	-3.1152326795649
1.3080000000000	-3.1234274406898
1.3100000000000	-3.1317047841131
1.3120000000000	-3.1400652321259
1.3140000000000	-3.1485093108316
1.3160000000000	-3.1570375501809
1.3180000000000	-3.1656504840078
1.3200000000000	-3.1743486500647
1.3220000000000	-3.1831325900588
1.3240000000000	-3.1920028496877
1.3260000000000	-3.2009599786762
1.3280000000000	-3.2100045308125
1.3300000000000	-3.2191370639853
1.3320000000000	-3.2283581402202
1.3340000000000	-3.2376683257173
1.3360000000000	-3.2470681908880
1.3380000000000	-3.2565583103932
1.3400000000000	-3.2661392631799
1.3420000000000	-3.2758116325200
1.3440000000000	-3.2855760060473
1.3460000000000	-3.2954329757964
1.3480000000000	-3.3053831382402
1.3500000000000	-3.3154270943285
1.3520000000000	-3.3255654495265
1.3540000000000	-3.3357988138531
1.3560000000000	-3.3461278019196
1.3580000000000	-3.3565530329683
1.3600000000000	-3.3670751309113
1.3620000000000	-3.3776947243693
1.3640000000000	-3.3884124467104
1.3660000000000	-3.3992289360887
1.3680000000000	-3.4101448354835
1.3700000000000	-3.4211607927381
1.3720000000000	-3.4322774605985
1.3740000000000	-3.4434954967521
1.3760000000000	-3.4548155638669
1.3780000000000	-3.4662383296295
1.3800000000000	-3.4777644667843
1.3820000000000	-3.4893946531719
1.3840000000000	-3.5011295717671
1.3860000000000	-3.5129699107177
1.3880000000000	-3.5249163633820
1.3900000000000	-3.5369696283673
1.3920000000000	-3.5491304095673
1.3940000000000	-3.5613994161994
1.3960000000000	-3.5737773628426
1.3980000000000	-3.5862649694739
1.4000000000000	-3.5988629615053
1.4020000000000	-3.6115720698201
1.4040000000000	-3.6243930308092
1.4060000000000	-3.6373265864065
1.4080000000000	-3.6503734841245
1.4100000000000	-3.6635344770891
1.4120000000000	-3.6768103240743
1.4140000000000	-3.6902017895359
1.4160000000000	-3.7037096436453
1.4180000000000	-3.7173346623224
1.4200000000000	-3.7310776272682
1.4220000000000	-3.7449393259967
1.4240000000000	-3.7589205518659
1.4260000000000	-3.7730221041087
1.4280000000000	-3.7872447878628
1.4300000000000	-3.8015894141999
1.4320000000000	-3.8160568001541
1.4340000000000	-3.8306477687500
1.4360000000000	-3.8453631490290
1.4380000000000	-3.8602037760759
1.4400000000000	-3.8751704910436
1.4420000000000	-3.8902641411777
1.4440000000000	-3.9054855798396
1.4460000000000	-3.9208356665284
1.4480000000000	-3.9363152669028
1.4500000000000	-3.9519252528006
1.4520000000000	-3.9676665022578
1.4540000000000	-3.9835398995265
1.4560000000000	-3.9995463350916
1.4580000000000	-4.0156867056856
1.4600000000000	-4.0319619143033
1.4620000000000	-4.0483728702138
1.4640000000000	-4.0649204889721
1.4660000000000	-4.0816056924287
1.4680000000000	-4.0984294087381
1.4700000000000	-4.1153925723655
1.4720000000000	-4.1324961240918
1.4740000000000	-4.1497410110172
1.4760000000000	-4.1671281865631
1.4780000000000	-4.1846586104722
1.4800000000000	-4.2023332488066
1.4820000000000	-4.2201530739444
1.4840000000000	-4.2381190645743
1.4860000000000	-4.2562322056877
1.4880000000000	-4.2744934885702
1.4900000000000	-4.2929039107892
1.4920000000000	-4.3114644761809
1.4940000000000	-4.3301761948343
1.4960000000000	-4.3490400830733
1.4980000000000	-4.3680571634366
1.5000000000000	-4.3872284646547
1.5020000000000	-4.4065550216256
1.5040000000000	-4.4260378753869
1.5060000000000	-4.4456780730861
1.5080000000000	-4.4654766679481
1.5100000000000	-4.4854347192406
