freq	dBm(Vload)
0.00000000000000000E0	-1.90127795939520539E2
2.20000000000000018E9	3.04978782552082262E1
4.40000000000000036E9	-2.05231034102796794E1
6.59999999999999964E9	-2.11874652044491452E1
8.80000000000000071E9	-2.72499768239217044E1
1.10000000000000009E10	-2.55367610928533395E1
1.31999999999999984E10	-4.80067126975982639E1
1.54000000000000004E10	-3.34422084062697067E1
1.76000000000000023E10	-4.51828739577886473E1


