level	number	indep(index, 1)	PAE_contours[0, 0, ::]
3.63773793018164948E1	2	29	6.18541514876792231E-1 / 9.43483915840461052E1
3.63773793018164948E1	2	30	6.18532652562477558E-1 / 9.43504159208805859E1
3.63773793018164948E1	2	31	6.18523565722138269E-1 / 9.43524468669728122E1
3.63773793018164948E1	2	32	6.18514257384128907E-1 / 9.43544839201637764E1
3.63773793018164948E1	2	33	6.18504730576053241E-1 / 9.43565265782380358E1
3.63773793018164948E1	2	34	6.18494988324759465E-1 / 9.43585743389215637E1
3.63773793018164948E1	2	35	6.18485033656333449E-1 / 9.43606266998796350E1
3.63773793018164948E1	2	36	6.18474869596095456E-1 / 9.43626831587150150E1
3.63773793018164948E1	2	37	6.18464499168595250E-1 / 9.43647432129659158E1
3.63773793018164948E1	2	38	6.18453925397608906E-1 / 9.43668063601041496E1
3.63773793018164948E1	2	39	6.18443151306134986E-1 / 9.43688720975333162E1
3.63773793018164948E1	2	40	6.18432179916393032E-1 / 9.43709399225869916E1
3.63773793018164948E1	2	41	6.18421014249818946E-1 / 9.43730093325270936E1
3.63773793018164948E1	2	42	6.18409657327066320E-1 / 9.43750798245420341E1
3.63773793018164948E1	2	43	6.18398112168002534E-1 / 9.43771508957452454E1
3.63773793018164948E1	2	44	6.18386381791709461E-1 / 9.43792220431735274E1
3.63773793018164948E1	2	45	6.18374469216481959E-1 / 9.43812927637854671E1
3.63773793018164948E1	2	46	6.18362377459829471E-1 / 9.43833625544600885E1
3.63773793018164948E1	2	47	6.18350109538475134E-1 / 9.43854309119952362E1
3.63773793018164948E1	2	48	6.18337668468358004E-1 / 9.43874973331063671E1
3.63773793018164948E1	2	49	6.18325057264633404E-1 / 9.43895613144250412E1
3.63773793018164948E1	2	50	6.18312278941676485E-1 / 9.43916223524977660E1
3.63773793018164948E1	2	51	6.18299336513083464E-1 / 9.43936799437846474E1
3.63773793018164948E1	2	52	6.18286232991675178E-1 / 9.43957335846582701E1
3.63773793018164948E1	2	53	6.18272971389500459E-1 / 9.43977827714025430E1
3.63773793018164948E1	2	54	6.18259554717840132E-1 / 9.43998270002115270E1
3.63773793018164948E1	2	55	6.18245985987211011E-1 / 9.44018657671884753E1
3.63773793018164948E1	2	56	6.18232268207372115E-1 / 9.44038985683447684E1
3.63773793018164948E1	2	57	6.18218404387328135E-1 / 9.44059248995990075E1
3.63773793018164948E1	2	58	6.18204397535336714E-1 / 9.44079442567761085E1
3.63773793018164948E1	2	59	6.18190250658914398E-1 / 9.44099561356063965E1
3.63773793018164948E1	2	60	6.18175966764843210E-1 / 9.44119600317248064E1
3.63773793018164948E1	2	61	6.18161548859178112E-1 / 9.44139554406702253E1
3.63773793018164948E1	2	62	6.18146999947255082E-1 / 9.44159418578846221E1
3.63773793018164948E1	2	63	6.18132323033699116E-1 / 9.44179187787125151E1
3.63773793018164948E1	2	64	6.18117521122432478E-1 / 9.44198856984003143E1
3.63773793018164948E1	2	65	6.18102597216685279E-1 / 9.44218421120957174E1
3.63773793018164948E1	2	66	6.18087554319003551E-1 / 9.44237875148472661E1
3.63773793018164948E1	2	67	6.18072395431260357E-1 / 9.44257214016038127E1
3.63773793018164948E1	2	68	6.18057123554666887E-1 / 9.44276432672141475E1
3.63773793018164948E1	2	69	6.18041741689782231E-1 / 9.44295526064266078E1
3.63773793018164948E1	2	70	6.18026252836526258E-1 / 9.44314489138887581E1
3.63773793018164948E1	2	71	6.18010659994191247E-1 / 9.44333316841471060E1
3.63773793018164948E1	2	72	6.17994966161454418E-1 / 9.44352004116468891E1
3.63773793018164948E1	2	73	6.17979174336390802E-1 / 9.44370545907319325E1
3.63773793018164948E1	2	74	6.17963287516487991E-1 / 9.44388937156444186E1
3.63773793018164948E1	2	75	6.17947308698658304E-1 / 9.44407172805249395E1
3.63773793018164948E1	2	76	6.17931240879254950E-1 / 9.44425247794123557E1
3.63773793018164948E1	2	77	6.17915087054086154E-1 / 9.44443157062438488E1
3.63773793018164948E1	2	78	6.17898850218430962E-1 / 9.44460895548550816E1
3.63773793018164948E1	2	79	6.17882533367054876E-1 / 9.44478458189800918E1
3.63773793018164948E1	2	80	6.17866139494227173E-1 / 9.44495839922517533E1
3.63773793018164948E1	2	81	6.17849671593736893E-1 / 9.44513035682016877E1
3.63773793018164948E1	2	82	6.17833132658910689E-1 / 9.44530040402607440E1
3.63773793018164948E1	2	83	6.17816525682630679E-1 / 9.44546849017592294E1
3.63773793018164948E1	2	84	6.17799853657352926E-1 / 9.44563456459272288E1
3.63773793018164948E1	2	85	6.17783119575126527E-1 / 9.44579857658950495E1
3.63773793018164948E1	2	86	6.17766326427612533E-1 / 9.44596047546937356E1
3.63773793018164948E1	2	87	6.17749477206103759E-1 / 9.44612021052554596E1
3.63773793018164948E1	2	88	6.17732574901545739E-1 / 9.44627773104141788E1
3.63773793018164948E1	2	89	6.17715622504557516E-1 / 9.44643298629061512E1
3.63773793018164948E1	2	90	6.17698623005451974E-1 / 9.44658592553706633E1
3.63773793018164948E1	2	91	6.17681579394258762E-1 / 9.44673649803506521E1
3.63773793018164948E1	2	92	6.17664494660745866E-1 / 9.44688465302935221E1
3.63773793018164948E1	2	93	6.17647371794443156E-1 / 9.44703033975519268E1
3.63773793018164948E1	2	94	6.17630213784664672E-1 / 9.44717350743846040E1
3.63773793018164948E1	2	95	6.17613023620533408E-1 / 9.44731410529572635E1
3.63773793018164948E1	2	96	6.17595804291004491E-1 / 9.44745208253435109E1
3.63773793018164948E1	2	97	6.17578558784890497E-1 / 9.44758738835259670E1
3.63773793018164948E1	2	98	6.17561290090887205E-1 / 9.44771997193970847E1

level	number	indep(index, 1)	PAE_contours[0, 2, ::]
3.63773793018164948E1	3	0	6.17969299952916629E-1 / 9.41481278870569049E1
3.63773793018164948E1	3	1	6.17981033045896488E-1 / 9.41499460182983583E1
3.63773793018164948E1	3	2	6.17992728795782753E-1 / 9.41517543508866339E1
3.63773793018164948E1	3	3	6.18004389420943046E-1 / 9.41535521090056804E1
3.63773793018164948E1	3	4	6.18016017138754847E-1 / 9.41553385168686496E1
3.63773793018164948E1	3	5	6.18027614165620243E-1 / 9.41571127987177015E1
3.63773793018164948E1	3	6	6.18039182716983237E-1 / 9.41588741788240924E1
3.63773793018164948E1	3	7	6.18050725007347790E-1 / 9.41606218814882467E1
3.63773793018164948E1	3	8	6.18062243250298593E-1 / 9.41623551310399520E1
3.63773793018164948E1	3	9	6.18073738847541243E-1 / 9.41640733341693625E1
3.63773793018164948E1	3	10	6.18085209956457415E-1 / 9.41657766269109509E1
3.63773793018164948E1	3	11	6.18096653923866146E-1 / 9.41674653276344742E1
3.63773793018164948E1	3	12	6.18108068097112717E-1 / 9.41691397547112707E1
3.63773793018164948E1	3	13	6.18119449824058620E-1 / 9.41708002265137978E1
3.63773793018164948E1	3	14	6.18130796453075071E-1 / 9.41724470614152054E1
3.63773793018164948E1	3	15	6.18142105333033420E-1 / 9.41740805777888568E1
3.63773793018164948E1	3	16	6.18153373813297158E-1 / 9.41757010940079908E1
3.63773793018164948E1	3	17	6.18164599243714452E-1 / 9.41773089284453313E1
3.63773793018164948E1	3	18	6.18175778974610779E-1 / 9.41789043994727315E1
3.63773793018164948E1	3	19	6.18186910356780306E-1 / 9.41804878254609257E1
3.63773793018164948E1	3	20	6.18197990741480119E-1 / 9.41820595247792269E1
3.63773793018164948E1	3	21	6.18209017480421874E-1 / 9.41836198157951188E1
3.63773793018164948E1	3	22	6.18219987925765402E-1 / 9.41851690168743438E1
3.63773793018164948E1	3	23	6.18230899430111869E-1 / 9.41867074463803888E1
3.63773793018164948E1	3	24	6.18241749346497649E-1 / 9.41882354226744312E1
3.63773793018164948E1	3	25	6.18252535028387395E-1 / 9.41897532641153212E1
3.63773793018164948E1	3	26	6.18263253829668269E-1 / 9.41912612890592271E1
3.63773793018164948E1	3	27	6.18273903104643718E-1 / 9.41927598158597235E1
3.63773793018164948E1	3	28	6.18284480208027976E-1 / 9.41942491628676137E1
3.63773793018164948E1	3	29	6.18294982494940104E-1 / 9.41957296484309836E1
3.63773793018164948E1	3	30	6.18305407320899825E-1 / 9.41972015908951299E1
3.63773793018164948E1	3	31	6.18315752041819877E-1 / 9.41986653086026493E1
3.63773793018164948E1	3	32	6.18326014014003711E-1 / 9.42001211198933319E1
3.63773793018164948E1	3	33	6.18336190594138824E-1 / 9.42015693431044454E1
3.63773793018164948E1	3	34	6.18346279139293298E-1 / 9.42030102965706817E1
3.63773793018164948E1	3	35	6.18356277006910204E-1 / 9.42044442986243169E1
3.63773793018164948E1	3	36	6.18366181554804495E-1 / 9.42058716675953534E1
3.63773793018164948E1	3	37	6.18375990141158294E-1 / 9.42072927218118217E1
3.63773793018164948E1	3	38	6.18385700124516990E-1 / 9.42087077795997985E1
3.63773793018164948E1	3	39	6.18395308863786397E-1 / 9.42101171592837616E1
3.63773793018164948E1	3	40	6.18404813718227686E-1 / 9.42115211791868390E1
3.63773793018164948E1	3	41	6.18414212047455791E-1 / 9.42129201576310749E1
3.63773793018164948E1	3	42	6.18423501211435411E-1 / 9.42143144129378030E1
3.63773793018164948E1	3	43	6.18432678570477989E-1 / 9.42157042634278596E1
3.63773793018164948E1	3	44	6.18441741485239405E-1 / 9.42170900274221523E1
3.63773793018164948E1	3	45	6.18450687316717662E-1 / 9.42184720232418904E1
3.63773793018164948E1	3	46	6.18459513426249519E-1 / 9.42198505692090649E1
3.63773793018164948E1	3	47	6.18468217175509416E-1 / 9.42212259836469634E1
3.63773793018164948E1	3	48	6.18476795926506995E-1 / 9.42225985848805259E1
