level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.33468600367363432E1	2	36	4.47297296002217148E-1 / 1.10742260433874584E2
1.33468600367363432E1	2	37	4.47181632594084810E-1 / 1.10766257713812211E2
1.33468600367363432E1	2	38	4.47062657238221473E-1 / 1.10790402444055358E2
1.33468600367363432E1	2	39	4.46940441646932118E-1 / 1.10814687705739390E2
1.33468600367363432E1	2	40	4.46815057444236263E-1 / 1.10839106563256928E2
1.33468600367363432E1	2	41	4.46686576164436033E-1 / 1.10863652063530749E2
1.33468600367363432E1	2	42	4.46555069250746506E-1 / 1.10888317235306699E2
1.33468600367363432E1	2	43	4.46420608053988577E-1 / 1.10913095088465874E2
1.33468600367363432E1	2	44	4.46283263831345511E-1 / 1.10937978613356480E2
1.33468600367363432E1	2	45	4.46143107745182821E-1 / 1.10962960780145625E2
1.33468600367363432E1	2	46	4.46000210861932267E-1 / 1.10988034538190194E2
1.33468600367363432E1	2	47	4.45854644151040791E-1 / 1.11013192815427941E2
1.33468600367363432E1	2	48	4.45706478483984281E-1 / 1.11038428517787802E2
1.33468600367363432E1	2	49	4.45555784633347596E-1 / 1.11063734528620284E2
1.33468600367363432E1	2	50	4.45402633271970405E-1 / 1.11089103708147374E2
1.33468600367363432E1	2	51	4.45247094972160884E-1 / 1.11114528892932363E2
1.33468600367363432E1	2	52	4.45089240204975578E-1 / 1.11140002895369605E2
1.33468600367363432E1	2	53	4.44929139339569257E-1 / 1.11165518503194183E2
1.33468600367363432E1	2	54	4.44766862642612271E-1 / 1.11191068479011479E2
1.33468600367363432E1	2	55	4.44602480277777889E-1 / 1.11216645559847116E2
1.33468600367363432E1	2	56	4.44436062305300617E-1 / 1.11242242456716722E2
1.33468600367363432E1	2	57	4.44267678681603773E-1 / 1.11267851854216371E2
1.33468600367363432E1	2	58	4.44097399259001158E-1 / 1.11293466410133068E2
1.33468600367363432E1	2	59	4.43925293785468611E-1 / 1.11319078755075873E2
1.33468600367363432E1	2	60	4.43751431904490623E-1 / 1.11344681492127617E2
1.33468600367363432E1	2	61	4.43575883154980222E-1 / 1.11370267196517325E2
1.33468600367363432E1	2	62	4.43398716971272666E-1 / 1.11395828415313258E2
1.33468600367363432E1	2	63	4.43220002683196856E-1 / 1.11421357667137344E2
1.33468600367363432E1	2	64	4.43039809516220195E-1 / 1.11446847441900188E2
1.33468600367363432E1	2	65	4.42858206591672676E-1 / 1.11472290200557578E2
1.33468600367363432E1	2	66	4.42675262927047797E-1 / 1.11497678374888420E2
1.33468600367363432E1	2	67	4.42491047436382789E-1 / 1.11523004367293810E2
1.33468600367363432E1	2	68	4.42305628930717099E-1 / 1.11548260550618150E2
1.33468600367363432E1	2	69	4.42119076118633014E-1 / 1.11573439267991703E2
1.33468600367363432E1	2	70	4.41931457606875533E-1 / 1.11598532832695407E2
1.33468600367363432E1	2	71	4.41742841901055971E-1 / 1.11623533528047547E2
1.33468600367363432E1	2	72	4.41553297406436496E-1 / 1.11648433607312869E2
1.33468600367363432E1	2	73	4.41362892428800091E-1 / 1.11673225293633793E2
1.33468600367363432E1	2	74	4.41171695175403489E-1 / 1.11697900779984893E2
1.33468600367363432E1	2	75	4.40979773756016868E-1 / 1.11722452229149205E2
