level	number	indep(index, 1)	GainTransducerContours[0, 0, ::]
1.86114672757377031E1	6	24	6.83901284475166982E-1 / 1.14993074216533153E2
1.86114672757377031E1	6	25	6.83712751035473243E-1 / 1.14988117039147575E2
1.86114672757377031E1	6	26	6.83522765971561252E-1 / 1.14983217892190392E2
1.86114672757377031E1	6	27	6.83331308127736925E-1 / 1.14978392424473874E2
1.86114672757377031E1	6	28	6.83138356288527060E-1 / 1.14973656302639959E2
1.86114672757377031E1	6	29	6.82943889181333752E-1 / 1.14969025211549836E2
1.86114672757377031E1	6	30	6.82747885479600747E-1 / 1.14964514854684463E2
1.86114672757377031E1	6	31	6.82550323806491299E-1 / 1.14960140954556556E2
1.86114672757377031E1	6	32	6.82351182739080464E-1 / 1.14955919253133709E2
1.86114672757377031E1	6	33	6.82150440813062975E-1 / 1.14951865512272899E2
1.86114672757377031E1	6	34	6.81948076527974845E-1 / 1.14947995514166790E2
1.86114672757377031E1	6	35	6.81744068352935795E-1 / 1.14944325061801300E2
1.86114672757377031E1	6	36	6.81538394732907271E-1 / 1.14940869979424942E2
1.86114672757377031E1	6	37	6.81331034095472532E-1 / 1.14937646113030101E2
1.86114672757377031E1	6	38	6.81121964858138007E-1 / 1.14934669330845840E2
1.86114672757377031E1	6	39	6.80911165436156285E-1 / 1.14931955523842877E2
1.86114672757377031E1	6	40	6.80698614250874723E-1 / 1.14929520606250191E2
1.86114672757377031E1	6	41	6.80484289738610837E-1 / 1.14927380516083888E2
1.86114672757377031E1	6	42	6.80268170360053492E-1 / 1.14925551215687860E2
1.86114672757377031E1	6	43	6.80050234610194693E-1 / 1.14924048692286673E2
1.86114672757377031E1	6	44	6.79830461028792410E-1 / 1.14922888958550340E2
1.86114672757377031E1	6	45	6.79608828211366234E-1 / 1.14922088053171234E2
1.86114672757377031E1	6	46	6.79385314820727437E-1 / 1.14921662041452954E2
1.86114672757377031E1	6	47	6.79159899599046657E-1 / 1.14921627015911509E2
1.86114672757377031E1	6	48	6.78932561380459543E-1 / 1.14921999096887895E2
1.86114672757377031E1	6	49	6.78703279104212953E-1 / 1.14922794433173370E2
1.86114672757377031E1	6	50	6.78472031828355782E-1 / 1.14924029202645772E2
1.86114672757377031E1	6	51	6.78238798743973081E-1 / 1.14925719612918376E2
1.86114672757377031E1	6	52	6.78003559189968996E-1 / 1.14927881901999918E2
1.86114672757377031E1	6	53	6.77766292668397963E-1 / 1.14930532338966329E2
1.86114672757377031E1	6	54	6.77526978860350226E-1 / 1.14933687224643988E2
1.86114672757377031E1	6	55	6.77285597642391135E-1 / 1.14937362892304096E2
1.86114672757377031E1	6	56	6.77042129103556878E-1 / 1.14941575708368116E2
1.86114672757377031E1	6	57	6.76796553562912351E-1 / 1.14946342073124419E2
1.86114672757377031E1	6	58	6.76548851587669731E-1 / 1.14951678421455106E2
1.86114672757377031E1	6	59	6.76299004011874771E-1 / 1.14957601223573525E2
1.86114672757377031E1	6	60	6.76046991955659760E-1 / 1.14964126985772053E2
1.86114672757377031E1	6	61	6.75792796845069432E-1 / 1.14971272251179313E2
1.86114672757377031E1	6	62	6.75536400432461015E-1 / 1.14979053600527381E2
1.86114672757377031E1	6	63	6.75277784817482019E-1 / 1.14987487652927989E2
1.86114672757377031E1	6	64	6.75016932468630149E-1 / 1.14996591066657206E2
1.86114672757377031E1	6	65	6.74753826245396393E-1 / 1.15006380539949005E2
1.86114672757377031E1	6	66	6.74488449420996794E-1 / 1.15016872811796467E2
1.86114672757377031E1	6	67	6.74220785705696191E-1 / 1.15028084662760710E2
1.86114672757377031E1	6	68	6.73950819270725709E-1 / 1.15040032915786283E2
1.86114672757377031E1	6	69	6.73678534772800930E-1 / 1.15052734437023529E2
1.86114672757377031E1	6	70	6.73403917379240990E-1 / 1.15066206136656568E2
1.86114672757377031E1	6	71	6.73126952793695477E-1 / 1.15080464969736340E2
1.86114672757377031E1	6	72	6.72847627282481842E-1 / 1.15095527937018494E2
1.86114672757377031E1	6	73	6.72565927701535760E-1 / 1.15111412085805087E2
1.86114672757377031E1	6	74	6.72281841523983559E-1 / 1.15128134510789293E2
1.86114672757377031E1	6	75	6.71995356868333538E-1 / 1.15145712354902474E2
1.86114672757377031E1	6	76	6.71706462527298953E-1 / 1.15164162810163107E2
1.86114672757377031E1	6	77	6.71415147997249484E-1 / 1.15183503118525943E2
1.86114672757377031E1	6	78	6.71121403508300673E-1 / 1.15203750572731201E2
1.86114672757377031E1	6	79	6.70825220055043658E-1 / 1.15224922517152573E2
1.86114672757377031E1	6	80	6.70526589427921849E-1 / 1.15247036348642706E2
1.86114672757377031E1	6	81	6.70225504245255088E-1 / 1.15270109517375707E2
