time	ts(Vload)
1.63352272727272707E-10	-1.01350985205326216E1
1.66903409090909127E-10	-9.97035024208033605E0
1.70454545454545459E-10	-9.78181519874522465E0
1.74005681818181834E-10	-9.56987641150354307E0
1.77556818181818210E-10	-9.33490579549819266E0
1.81107954545454564E-10	-9.07728007760798938E0
1.84659090909090917E-10	-8.79740446317535785E0
1.88210227272727293E-10	-8.49574056297551117E0
1.91761363636363580E-10	-8.17283440870163602E0
1.95312500000000000E-10	-7.82934027665105514E0
1.98863636363636420E-10	-7.46603653570856984E0
2.02414772727272707E-10	-7.08383078377177178E0
2.05965909090909083E-10	-6.68375300387266069E0
2.09517045454545503E-10	-6.26693716190267747E0
2.13068181818181834E-10	-5.83459334923582507E0
2.16619318181818254E-10	-5.38797400722736697E0
2.20170454545454541E-10	-4.92833874582567866E0
2.23721590909090873E-10	-4.45692263275731460E0
2.27272727272727293E-10	-3.97491251145546265E0
2.30823863636363669E-10	-3.48343492703371638E0
2.34375000000000000E-10	-2.98355771500777944E0
2.37926136363636331E-10	-2.47630543141395476E0
2.41477272727272707E-10	-1.96268682429050023E0
2.45028409090909127E-10	-1.44373073550616304E0
2.48579545454545503E-10	-9.20525433706203522E-1
2.52130681818181834E-10	-3.94255618054387824E-1
2.55681818181818166E-10	1.33768677062653918E-1
2.59232954545454541E-10	6.62096278342544409E-1
2.62784090909090917E-10	1.18913570609244124E0
2.66335227272727293E-10	1.71317418666801990E0
2.69886363636363669E-10	2.23241412040359233E0
2.73437500000000044E-10	2.74502402591664962E0
2.76988636363636331E-10	3.24919903416140654E0
2.80539772727272663E-10	3.74322462367765718E0
2.84090909090909127E-10	4.22553666044254506E0
2.87642045454545414E-10	4.69477102421508530E0
2.91193181818181879E-10	5.14979715226620538E0
2.94744318181818254E-10	5.58973158776685874E0
2.98295454545454541E-10	6.01392986932665075E0
3.01846590909090917E-10	6.42195756220560909E0
3.05397727272727293E-10	6.81354360531278758E0
3.08948863636363580E-10	7.18852113853566710E0
3.12500000000000000E-10	7.54676233989334921E0
3.16051136363636331E-10	7.88811438048630276E0
3.19602272727272707E-10	8.21234333748361500E0
3.23153409090909083E-10	8.51909183929138436E0
